tier,case_id,range_km,bearing_deg,target_accel_x_mps2,apn_gain,seed,nearest_distance_m,rho_fuze,entered_R_fuze,max_achieved_lateral_g,stable_trace_count,acceleration_valid_observed,acceleration_rmse_mps2,terminal_acceleration_error_mps2,max_estimated_acceleration_mps2,max_apn_acceleration_mps2,max_component_sum_error_mps2
clean_stage4,p10_clean_stage4_r8_bp60_am8_g0p125_s20260621,8.0,60.0,-8.0,0.125,20260621,0.0013929481371697712,9.286320914465141e-05,True,34.999999999999986,143,True,8.343722549910299e-07,8.344745569473139e-07,7.999999166021892,0.3669831187925412,1.433586228067688e-14
clean_stage4,p10_clean_stage4_r8_bp60_ap0_g0p125_s20260621,8.0,60.0,0.0,0.125,20260621,0.0014037486532446743,9.358324354964496e-05,True,34.999999999999986,162,True,2.1072717615495606e-10,1.786319763716068e-10,3.0874611391393414e-10,3.8499361633838184e-11,1.4909289008974654e-14
clean_stage4,p10_clean_stage4_r8_bp60_ap8_g0p125_s20260621,8.0,60.0,8.0,0.125,20260621,0.0014165313880626247,9.443542587084164e-05,True,34.99999999999997,194,True,8.346061025005492e-07,8.346056609618567e-07,7.999999165774472,0.4710876975152564,1.4090438983120716e-14
clean_stage4,p10_clean_stage4_r10_bm60_am8_g0p125_s20260621,10.0,-60.0,-8.0,0.125,20260621,100.68126857468098,6.712084571645399,False,34.83135000167035,319,True,8.346306109141259e-07,8.348197430426536e-07,7.999999166805126,0.5499920307573458,2.4749150458086097e-14
clean_stage4,p10_clean_stage4_r10_bm60_ap0_g0p125_s20260621,10.0,-60.0,0.0,0.125,20260621,0.0014000715131655492,9.333810087770328e-05,True,34.98361737847034,241,True,2.8921345113620137e-10,2.649857522532044e-10,5.858615277750559e-10,5.3986313051301176e-11,1.7898840519806693e-14
clean_stage4,p10_clean_stage4_r10_bm60_ap8_g0p125_s20260621,10.0,-60.0,8.0,0.125,20260621,0.0013768722351800795,9.179148234533864e-05,True,34.99989781054901,204,True,8.343244021377284e-07,8.343566163173926e-07,7.999999166132296,0.4690132415401511,1.7939916729533488e-14
clean_stage4,p10_clean_stage4_r10_bm30_am8_g0p125_s20260621,10.0,-30.0,-8.0,0.125,20260621,0.0019870506242102752,0.00013247004161401834,True,22.58933525566579,98,True,8.346227421178126e-07,8.346469304806982e-07,7.9999991655923886,0.7751969285848633,1.6064988546887378e-14
clean_stage4,p10_clean_stage4_r10_bm30_ap0_g0p125_s20260621,10.0,-30.0,0.0,0.125,20260621,0.0013695418887495786,9.130279258330525e-05,True,22.199429302394694,91,True,3.3199216716944327e-10,2.0409458909312792e-10,4.820943258448874e-10,5.769966524029203e-11,1.635833474758286e-14
clean_stage4,p10_clean_stage4_r10_bm30_ap8_g0p125_s20260621,10.0,-30.0,8.0,0.125,20260621,0.001595591064553276,0.00010637273763688508,True,21.80306891645003,86,True,8.344591928115886e-07,8.343701488881441e-07,7.999999165750834,0.7927278340436437,1.1461674948391557e-14
clean_stage4,p10_clean_stage4_r10_bp0_am8_g0p125_s20260621,10.0,0.0,-8.0,0.125,20260621,0.0019527794241359074,0.00013018529494239383,True,1.8750672662668735,61,True,8.345370680501149e-07,8.344637089353289e-07,7.999999165536312,0.9998377791956039,1.561790726879384e-15
clean_stage4,p10_clean_stage4_r10_bp0_ap0_g0p125_s20260621,10.0,0.0,0.0,0.125,20260621,0.0013622121991446634,9.081414660964423e-05,True,2.0779989850748963e-12,61,True,5.078621598277702e-10,1.8525942803769449e-10,7.160946798094186e-10,2.0378208746984733e-11,0.0
clean_stage4,p10_clean_stage4_r10_bp0_ap8_g0p125_s20260621,10.0,0.0,8.0,0.125,20260621,0.0019118013808625814,0.00012745342539083877,True,1.8750672662668735,61,True,8.345371178212893e-07,8.344637089353289e-07,7.999999165536312,0.9998377791956148,1.5624842225615816e-15
