candidate_id,diagnostics_profile_attached,grid_tier,hit_run_count,max_achieved_lateral_g,max_capture_component_g,max_guidance_saturation_fraction,max_mirror_abs_difference_m,max_mirror_abs_difference_rho,max_postclamp_command_g,max_preclamp_command_g,max_seed_spread_m,max_seed_spread_rho,minimum_abs_rho_minus_one,mirror_entry_classification_consistent,nav_gain,nearest_distance_max_m,nearest_distance_mean_m,nearest_distance_min_m,offset_deg,range_km,refinement_reasons,resolved_runtime_contract_matches,rho_max,rho_mean,rho_median,rho_min,robust_state,run_count,seed_count,signed_bearing_count,stage4_launch_class,within_boundary_rho_band
nav_gain_3p5,False,main,6,13.018993880169601,0.0,0.0,3.9518165890451654e-06,2.6345443926966956e-07,13.030900045286376,13.030900045286376,0.0,0.0,0.999908740955346,True,3.5,0.0013688856698108676,0.0013669097615163451,0.0013649338532218224,10.0,6.0,[],True,9.125904465405784e-05,9.112731743442301e-05,9.1127317434423e-05,9.099559021478817e-05,robust_hit,6,3,2,N,False
nav_gain_3p5,False,main,6,17.17666487776748,0.0,0.0,5.543828480460665e-06,3.6958856536404433e-07,17.19225508313507,17.19225508313507,0.0,0.0,0.9999083073169116,True,3.5,0.0013753902463260088,0.0013726183320857787,0.0013698464178455482,15.0,6.0,[],True,9.169268308840058e-05,9.150788880571855e-05,9.150788880571856e-05,9.132309452303654e-05,robust_hit,6,3,2,N,False
nav_gain_3p5,False,main,6,21.04823797463906,0.0,0.0,4.301260310652115e-06,2.8675068737680674e-07,21.067078353743042,21.067078353743042,0.0,0.0,0.9999085262615739,True,3.5,0.0013721060763911064,0.0013699554462357803,0.0013678048160804543,20.0,6.0,[],True,9.147373842607376e-05,9.133036308238536e-05,9.133036308238535e-05,9.118698773869695e-05,robust_hit,6,3,2,N,False
nav_gain_3p5,False,main,6,24.63441206814568,0.0,0.0,8.538654110239272e-06,5.692436073492866e-07,24.656021192849895,24.656021192849895,0.0,0.0,0.999906320550516,True,3.5,0.001405191742259802,0.0014009224152046827,0.0013966530881495628,25.0,6.0,[],True,9.367944948398681e-05,9.339482768031217e-05,9.339482768031217e-05,9.311020587663752e-05,robust_hit,6,3,2,N,False
nav_gain_3p5,False,main,6,27.965102724238776,0.0,0.0,3.023052758285589e-06,2.0153685055238253e-07,27.990323243606376,27.990323243606376,0.0,0.0,0.9999087139969094,True,3.5,0.001369290046359011,0.0013677785199798682,0.0013662669936007254,30.0,6.0,[],True,9.128600309060074e-05,9.118523466532454e-05,9.118523466532455e-05,9.108446624004836e-05,robust_hit,6,3,2,N,False
nav_gain_3p5,False,main,6,31.045802169567125,0.0,0.0,7.002439064284806e-06,4.668292709523276e-07,31.073326127811224,31.073326127811224,0.0,0.0,0.9999062743195852,True,3.5,0.0014058852062208127,0.0014023839866886703,0.001398882767156528,35.0,6.0,[],True,9.372568041472085e-05,9.349226577924469e-05,9.349226577924469e-05,9.325885114376852e-05,robust_hit,6,3,2,N,False
nav_gain_3p5,False,main,6,33.87066122850077,0.0,0.0,6.749421634517135e-06,4.4996144230114777e-07,33.89921517765669,33.89921517765669,0.0,0.0,0.9999054168026285,True,3.5,0.0014187479605728252,0.0014153732497555669,0.001411998538938308,40.0,6.0,[],True,9.458319737152169e-05,9.435821665037111e-05,9.435821665037111e-05,9.413323592922054e-05,robust_hit,6,3,2,N,False
nav_gain_3p5,False,main,6,34.99999998999536,0.0,0.11832946635730858,3.755888089765607e-06,2.5039253931770714e-07,35.0,37.02168146990304,0.0,0.0,0.9999072865196099,True,3.5,0.0013907022058511527,0.00138882426180627,0.001386946317761387,45.0,6.0,[],True,9.271348039007684e-05,9.258828412041799e-05,9.258828412041799e-05,9.246308785075914e-05,robust_hit,6,3,2,N,False
nav_gain_3p5,False,main,6,34.99999999999999,0.0,0.19801980198019803,2.922731981083856e-06,1.9484879873892826e-07,35.0,41.75149193909832,0.0,0.0,0.9999060589862412,True,3.5,0.001409115206382383,0.0014076538403918412,0.0014061924744012992,50.0,6.0,[],True,9.394101375882554e-05,9.384358935945607e-05,9.384358935945607e-05,9.374616496008661e-05,robust_hit,6,3,2,N,False
nav_gain_3p5,False,main,6,34.99999999999999,0.0,0.19704433497536947,3.145413179114591e-07,2.0969421194106308e-08,35.0,47.51258532472159,0.0,0.0,0.9999075787455032,True,3.5,0.0013863188174528063,0.0013861615467938508,0.0013860042761348948,55.0,6.0,[],True,9.242125449685375e-05,9.241076978625672e-05,9.24107697862567e-05,9.240028507565965e-05,robust_hit,6,3,2,M,False
