case_id,target_motion_layer,target_acceleration_x_mps2,range_km,bearing_deg,old_launch_class,observed_chain_state,candidate_launch_class,transition,stable_across_seeds,seed_count,nearest_distance_min_m,nearest_distance_max_m,legacy_negative_control_alert,in_radius_fuze_blocked,terminal_track_residual_causes
kces_anchor_grid_cv_6km_p30deg,nonmaneuvering_constant_velocity,0.0,6.0,30.0,N,complete_effect_chain,N,retain_N,True,3,0.0013926980855049674,0.0013926980855049674,False,False,
kces_anchor_grid_cv_6km_p45deg,nonmaneuvering_constant_velocity,0.0,6.0,45.0,M,complete_effect_chain,N,promote_to_N,True,3,0.0014098320700831283,0.0014098320700831283,False,False,
kces_anchor_grid_cv_6km_p60deg,nonmaneuvering_constant_velocity,0.0,6.0,60.0,M,complete_effect_chain,N,promote_to_N,True,3,0.0013986641330858444,0.0013986641330858444,False,False,
kces_anchor_grid_cv_6km_p75deg,nonmaneuvering_constant_velocity,0.0,6.0,75.0,O,outside_no_load,O,retain_O,True,3,4595.196165135834,4595.196165135834,False,False,
kces_anchor_grid_cv_6km_p90deg,nonmaneuvering_constant_velocity,0.0,6.0,90.0,O,outside_no_load,O,retain_O,True,3,6000.06749337164,6000.06749337164,False,False,
kces_anchor_grid_cv_8km_m15deg,nonmaneuvering_constant_velocity,0.0,8.0,-15.0,N,complete_effect_chain,N,retain_N,True,3,0.001372357049638965,0.001372357049638965,False,False,
kces_anchor_grid_cv_8km_m30deg,nonmaneuvering_constant_velocity,0.0,8.0,-30.0,N,complete_effect_chain,N,retain_N,True,3,0.001375464009472499,0.001375464009472499,False,False,
kces_anchor_grid_cv_8km_m45deg,nonmaneuvering_constant_velocity,0.0,8.0,-45.0,M,complete_effect_chain,N,promote_to_N,True,3,0.0014012230987433575,0.0014012230987433575,False,False,
kces_anchor_grid_cv_8km_m60deg,nonmaneuvering_constant_velocity,0.0,8.0,-60.0,M,complete_effect_chain,N,promote_to_N,True,3,0.001404365961565786,0.001404365961565786,False,False,
kces_anchor_grid_cv_8km_m75deg,nonmaneuvering_constant_velocity,0.0,8.0,-75.0,O,outside_no_load,O,retain_O,True,3,6229.943256055514,6229.943256055514,False,False,
kces_anchor_grid_cv_8km_m90deg,nonmaneuvering_constant_velocity,0.0,8.0,-90.0,O,outside_no_load,O,retain_O,True,3,8000.050520275359,8000.050520275359,False,False,
kces_anchor_grid_cv_8km_p0deg,nonmaneuvering_constant_velocity,0.0,8.0,0.0,N,complete_effect_chain,N,retain_N,True,3,0.0013622121336378274,0.0013622121336378274,False,False,
kces_anchor_grid_cv_8km_p15deg,nonmaneuvering_constant_velocity,0.0,8.0,15.0,N,complete_effect_chain,N,retain_N,True,3,0.0013678847721720656,0.0013678847721720656,False,False,
kces_anchor_grid_cv_8km_p30deg,nonmaneuvering_constant_velocity,0.0,8.0,30.0,N,complete_effect_chain,N,retain_N,True,3,0.0013710701979743809,0.0013710701979743809,False,False,
kces_anchor_grid_cv_8km_p45deg,nonmaneuvering_constant_velocity,0.0,8.0,45.0,M,complete_effect_chain,N,promote_to_N,True,3,0.0013961358746126986,0.0013961358746126986,False,False,
kces_anchor_grid_cv_8km_p60deg,nonmaneuvering_constant_velocity,0.0,8.0,60.0,M,complete_effect_chain,N,promote_to_N,True,3,0.0014037486532474895,0.0014037486532474895,False,False,
kces_anchor_grid_cv_8km_p75deg,nonmaneuvering_constant_velocity,0.0,8.0,75.0,O,outside_no_load,O,retain_O,True,3,6229.943292955612,6229.943292955612,False,False,
kces_anchor_grid_cv_8km_p90deg,nonmaneuvering_constant_velocity,0.0,8.0,90.0,O,outside_no_load,O,retain_O,True,3,8000.0506344215655,8000.0506344215655,False,False,
kces_anchor_grid_mild_10km_m30deg,mild_maneuver,-8.0,10.0,-30.0,O,complete_effect_chain,N,promote_to_N,True,3,0.001985961178841626,0.001985961178841626,True,False,
kces_anchor_grid_mild_10km_m60deg,mild_maneuver,-8.0,10.0,-60.0,O,outside_no_load,O,retain_O,True,3,86.8042715092514,86.8042715092514,False,False,
kces_anchor_grid_mild_10km_p0deg,mild_maneuver,8.0,10.0,0.0,M,complete_effect_chain,N,promote_to_N,True,3,0.0019117927397961391,0.0019117927397961391,False,False,
kces_anchor_grid_mild_10km_p30deg,mild_maneuver,8.0,10.0,30.0,O,complete_effect_chain,N,promote_to_N,True,3,0.0019186889627894018,0.0019186889627894018,True,False,
kces_anchor_grid_mild_10km_p60deg,mild_maneuver,8.0,10.0,60.0,O,outside_no_load,O,retain_O,True,3,86.8044902544037,86.8044902544037,False,False,
kces_anchor_grid_mild_6km_m30deg,mild_maneuver,-8.0,6.0,-30.0,M,complete_effect_chain,N,promote_to_N,True,3,0.0019882532562915055,0.0019882532562915055,False,False,
kces_anchor_grid_mild_6km_m60deg,mild_maneuver,-8.0,6.0,-60.0,O,in_radius_fuze_blocked,M,hold_M_terminal_track_residual,True,3,13.317615731677678,13.317615731677678,True,True,seeker_fov_exit_then_memory_timeout
kces_anchor_grid_mild_6km_p0deg,mild_maneuver,8.0,6.0,0.0,N,complete_effect_chain,N,retain_N,True,3,0.0018069464643969196,0.0018069464643969196,False,False,
kces_anchor_grid_mild_6km_p30deg,mild_maneuver,8.0,6.0,30.0,M,complete_effect_chain,N,promote_to_N,True,3,0.0019518607616491003,0.0019518607616491003,False,False,
kces_anchor_grid_mild_6km_p60deg,mild_maneuver,8.0,6.0,60.0,O,in_radius_fuze_blocked,M,hold_M_terminal_track_residual,True,3,13.31770270498944,13.31770270498944,True,True,seeker_fov_exit_then_memory_timeout
