absolute_effect_m,after_nearest_distance_m,after_profile,before_nearest_distance_m,before_profile,case_group,clamp_fraction_delta,effect_id,miss_distance_delta_m,offset_deg,range_km
0.112675672243894,0.11496019708845506,P5,0.0022845248445610552,P6,stress60,0.00530973451327435,terminal_given_base_flat,0.112675672243894,60.0,8.0
40.82350727700106,40.825791801845625,P4,0.0022845248445610552,P6,stress60,0.04697640117994101,base_inverse_given_terminal_flat,40.82350727700106,60.0,8.0
34.33587013606504,117.71683300492938,P1,152.05270314099442,P7,stress60,-0.023255813953488386,terminal_clamp,-34.33587013606504,60.0,8.0
0.0,40.825791801845625,P4,40.825791801845625,P8,stress60,0.0,lead_range_schedule_terminal_flat,0.0,60.0,8.0
410.0424082074056,410.86702918932497,P1,0.8246209819193933,P0,O_near,0.07716763005780346,capture_total,410.0424082074056,60.0,10.0
167.96619710665686,410.86702918932497,P1,578.8332262959818,P2,O_near,0.018733895118044422,lead_content,-167.96619710665686,60.0,10.0
1.4605472284208645,410.86702918932497,P1,409.4064819609041,P3,O_near,0.0,lead_range_schedule,1.4605472284208645,60.0,10.0
346.0449743054186,410.86702918932497,P1,64.82205488390636,P4,O_near,-0.038437465483597805,terminal_weighting,346.0449743054186,60.0,10.0
406.46153960741066,410.86702918932497,P1,4.405489581914331,P5,O_near,-0.02026826737809398,base_inverse_range,406.46153960741066,60.0,10.0
4.403848681658712,4.405489581914331,P5,0.001640900255619097,P6,O_near,0.008749766049036128,terminal_given_base_flat,4.403848681658712,60.0,10.0
64.82041398365074,64.82205488390636,P4,0.001640900255619097,P6,O_near,0.026918964154539954,base_inverse_given_terminal_flat,64.82041398365074,60.0,10.0
43.57471030699537,410.86702918932497,P1,454.44173949632034,P7,O_near,-0.01236725366312677,terminal_clamp,-43.57471030699537,60.0,10.0
0.7647776390055441,64.82205488390636,P4,65.5868325229119,P8,O_near,0.005348685284990995,lead_range_schedule_terminal_flat,-0.7647776390055441,60.0,10.0
17.37178888097416,17.37317951922477,P1,0.0013906382506078526,P0,O_near,0.030864197530864196,capture_total,17.37178888097416,45.0,12.0
70.88274503662274,17.37317951922477,P1,88.25592455584751,P2,O_near,0.000561167227833892,lead_content,-70.88274503662274,45.0,12.0
0.03446013659875646,17.37317951922477,P1,17.407639655823527,P3,O_near,0.0,lead_range_schedule,-0.03446013659875646,45.0,12.0
7.0263592657627605,17.37317951922477,P1,10.34682025346201,P4,O_near,0.003277990634312472,terminal_weighting,7.0263592657627605,45.0,12.0
17.301459491326817,17.37317951922477,P1,0.07172002789795506,P5,O_near,0.030864197530864196,base_inverse_range,17.301459491326817,45.0,12.0
0.06873038245311514,0.07172002789795506,P5,0.0029896454448399314,P6,O_near,0.0,terminal_given_base_flat,0.06873038245311514,45.0,12.0
10.34383060801717,10.34682025346201,P4,0.0029896454448399314,P6,O_near,0.027586206896551724,base_inverse_given_terminal_flat,10.34383060801717,45.0,12.0
7.886985541935434,17.37317951922477,P1,25.260165061160205,P7,O_near,-0.006172839506172839,terminal_clamp,-7.886985541935434,45.0,12.0
0.01827047852149377,10.34682025346201,P4,10.328549774940516,P8,O_near,0.006752873563218392,lead_range_schedule_terminal_flat,0.01827047852149377,45.0,12.0
10.136455974496984,10.137827621555282,P1,0.0013716470582968688,P0,O_far,0.02127659574468085,capture_total,10.136455974496984,30.0,16.0
48.78667489126981,10.137827621555282,P1,58.92450251282509,P2,O_far,-0.015760441292356184,lead_content,-48.78667489126981,30.0,16.0
0.029708349668428724,10.137827621555282,P1,10.108119271886853,P3,O_far,0.0,lead_range_schedule,0.029708349668428724,30.0,16.0
4.372387813670331,10.137827621555282,P1,5.765439807884951,P4,O_far,0.0038347352795645717,terminal_weighting,4.372387813670331,30.0,16.0
10.135928077709103,10.137827621555282,P1,0.001899543846178638,P5,O_far,0.02127659574468085,base_inverse_range,10.135928077709103,30.0,16.0
0.0001520041618931346,0.001899543846178638,P5,0.0020515480080717727,P6,O_far,0.0,terminal_given_base_flat,-0.0001520041618931346,30.0,16.0
5.763388259876879,5.765439807884951,P4,0.0020515480080717727,P6,O_far,0.01744186046511628,base_inverse_given_terminal_flat,5.763388259876879,30.0,16.0
3.8436733154536746,10.137827621555282,P1,13.981500937008956,P7,O_far,0.0,terminal_clamp,-3.8436733154536746,30.0,16.0
0.026151175993883058,5.765439807884951,P4,5.739288631891068,P8,O_far,0.0,lead_range_schedule_terminal_flat,0.026151175993883058,30.0,16.0
