aspect_bucket,bearing_deg,case_group,case_id,clamp_fraction,entered_R_fuze,launch_class,local_forward_m,local_right_m,local_up_m,max_abs_heading_velocity_error_deg,max_apn_g,max_capture_g,max_component_sum_error_mps2,max_los_rate_rad_s,max_pn_g,max_postclamp_g,max_preclamp_g,nearest_approach_time_s,nearest_distance_m,offset_deg,pn_source_counts,profile,range_km,rho_fuze,target_kinematics_source_counts,trace_sample_count,variant_id
tail,60.0,O_near,guidance_exact_cv_10km_p60deg,0.06832298136645963,False,O,-369.1944849991451,73.13080249842908,1.8817698306989643,103.35748670598815,0.0,17.90588118582844,9.099386826154683e-14,0.07821913662794909,19.946309699619295,35.0,37.85219088544773,13.343512818103221,376.3724526124939,60.0,"{""0"": 30, ""1"": 131}","{""apn_mode"": 0, ""capture_mode"": 1, ""kinematics_source"": 1, ""lead_mode"": 1, ""pn_mode"": 0}",10.0,25.091496840832924,"{""0"": 30, ""2"": 131}",161,legacy_truth_velocity_no_apn
tail,-45.0,O_near,guidance_exact_cv_12km_m45deg,0.032467532467532464,False,O,-44.76256860677898,-18.570221113958326,0.12830202784169986,99.48201459072129,2.2447064368605574,592.5537507700408,8.049405734471754e-13,0.6643103046060137,30.974743356678733,35.0,617.4673227202071,12.821203922498649,48.46191413788951,45.0,"{""1"": 154}","{""apn_mode"": 1, ""capture_mode"": 1, ""kinematics_source"": 0, ""lead_mode"": 2, ""pn_mode"": 0}",12.0,3.2307942758593007,"{""0"": 2, ""1"": 152}",154,legacy_full_track_quadratic
tail,-45.0,O_near,guidance_exact_cv_12km_m45deg,0.0,False,O,-282.3502379977434,-125.76210743938715,0.7702956302353297,89.35718249044679,1.478264918365262,0.0,2.6299681399168757e-13,0.3067941034699027,26.207436453624975,27.37706679536402,27.37706679536402,14.583918468265011,309.09279823434235,45.0,"{""0"": 5, ""1"": 171}","{""apn_mode"": 1, ""capture_mode"": 0, ""kinematics_source"": 0, ""lead_mode"": 2, ""pn_mode"": 0}",12.0,20.606186548956156,"{""0"": 13, ""1"": 163}",176,legacy_no_capture
tail,-45.0,O_near,guidance_exact_cv_12km_m45deg,0.015625,False,O,-547.6853805096162,-257.7261757226737,1.4421380042115979,100.3728639423844,1.1582959220619886,75.82684682522954,4.430443710754243e-14,0.0,0.0,35.0,75.82684682522954,15.942139697436195,605.2967350305297,45.0,"{""0"": 192}","{""apn_mode"": 1, ""capture_mode"": 1, ""kinematics_source"": 0, ""lead_mode"": 2, ""pn_mode"": 1}",12.0,40.35311566870198,"{""0"": 30, ""1"": 162}",192,legacy_no_pn
tail,-45.0,O_near,guidance_exact_cv_12km_m45deg,0.025157232704402517,False,O,-51.87582996027659,-21.08817875346365,0.150069073908372,100.33119340989768,0.0,706.6038418875486,4.263256414560601e-13,0.5829235330649379,32.36501271384879,35.0,738.9688546013973,13.180218440976077,55.998531569429716,45.0,"{""1"": 159}","{""apn_mode"": 0, ""capture_mode"": 1, ""kinematics_source"": 0, ""lead_mode"": 2, ""pn_mode"": 0}",12.0,3.733235437961981,"{""0"": 4, ""1"": 155}",159,legacy_no_apn
tail,-45.0,O_near,guidance_exact_cv_12km_m45deg,0.0,False,O,-206.273081672734,-51.598194450579555,0.7114541013247574,101.40035953066037,2.2207327855750654,41.06893853444523,3.697554072703522e-13,0.3519595762897393,19.497954184572727,29.27784196558022,29.27784196558022,12.875314726217468,212.6298757471867,45.0,"{""0"": 5, ""1"": 150}","{""apn_mode"": 1, ""capture_mode"": 1, ""kinematics_source"": 0, ""lead_mode"": 0, ""pn_mode"": 0}",12.0,14.175325049812447,"{""0"": 13, ""1"": 142}",155,legacy_no_lead
tail,-45.0,O_near,guidance_exact_cv_12km_m45deg,0.031446540880503145,False,O,-55.0988736264799,-22.099660478434995,0.16040842129162527,100.53652155001913,0.0,521.9325286600176,4.263256414560601e-13,0.5778131144329893,29.426986780291234,35.0,546.1694141808957,13.20831158666591,59.365870658404994,45.0,"{""1"": 159}","{""apn_mode"": 0, ""capture_mode"": 1, ""kinematics_source"": 0, ""lead_mode"": 1, ""pn_mode"": 0}",12.0,3.957724710560333,"{""0"": 3, ""1"": 156}",159,legacy_track_velocity_no_apn
tail,-45.0,O_near,guidance_exact_cv_12km_m45deg,0.0,False,O,-282.3502379977434,-125.76210743938715,0.7702956302353297,89.35718249044679,1.478264918365262,0.0,2.6299681399168757e-13,0.3067941034699027,26.207436453624975,27.37706679536402,27.37706679536402,14.583918468265011,309.09279823434235,45.0,"{""0"": 5, ""1"": 171}","{""apn_mode"": 1, ""capture_mode"": 0, ""kinematics_source"": 0, ""lead_mode"": 0, ""pn_mode"": 0}",12.0,20.606186548956156,"{""0"": 13, ""1"": 163}",176,legacy_no_capture_no_lead
tail,-45.0,O_near,guidance_exact_cv_12km_m45deg,0.032467532467532464,False,O,-20.262146421460898,-7.911327041293961,0.060644193935416126,97.26339325984728,2.564189933557924,587.8224258099766,1.3760747497474536e-13,1.0971443524680897,336.1929009721835,35.0,497.544121763729,12.775593155580754,21.75195050742059,45.0,"{""2"": 154}","{""apn_mode"": 1, ""capture_mode"": 1, ""kinematics_source"": 0, ""lead_mode"": 2, ""pn_mode"": 2}",12.0,1.4501300338280394,"{""0"": 1, ""1"": 153}",154,history_full_track_quadratic
tail,-45.0,O_near,guidance_exact_cv_12km_m45deg,0.031446540880503145,False,O,-22.13040719229317,-8.385164226467639,0.06705170891525024,98.36713459880883,0.0,1040.8727142212738,4.547473508864641e-13,0.9330880936006414,274.9727440190329,35.0,765.8999702022409,13.18111046875992,23.665806505022783,45.0,"{""2"": 159}","{""apn_mode"": 0, ""capture_mode"": 1, ""kinematics_source"": 0, ""lead_mode"": 2, ""pn_mode"": 2}",12.0,1.5777204336681856,"{""0"": 2, ""1"": 157}",159,history_track_quadratic_no_apn
