case_id,target_motion_layer,target_acceleration_x_mps2,range_km,bearing_deg,launch_class,seed_count,complete_effect_chain_count,in_radius_fuze_blocked_count,outside_no_load_count,chain_states,outcome_states,nearest_distance_min_m,nearest_distance_max_m,nearest_distance_spread_m,terminal_track_residual_causes,max_seeker_fov_excess_deg,max_detection_fov_excess_deg,structural_consistent,nominal_guidance_residual,legacy_negative_control_alert,in_radius_fuze_blocked
kces_anchor_grid_cv_10km_p60deg,nonmaneuvering_constant_velocity,0.0,10.0,60.0,O,3,3,0,0,['complete_effect_chain'],['damage_applied'],0.0013994803991079212,0.0013994803991079212,0.0,[],3.3358304914331,3.3438321647741986,True,False,True,False
kces_anchor_grid_cv_10km_p75deg,nonmaneuvering_constant_velocity,0.0,10.0,75.0,O,3,0,0,3,['outside_no_load'],[''],7942.472137535024,7942.472137535024,0.0,[],5.120745535599326,30.491313999990197,True,False,False,False
kces_anchor_grid_cv_10km_p90deg,nonmaneuvering_constant_velocity,0.0,10.0,90.0,O,3,0,0,3,['outside_no_load'],['missile_timeout'],10000.040518998048,10000.040518998048,0.0,[],0.0,77.11427498281057,True,False,False,False
kces_anchor_grid_cv_12km_m15deg,nonmaneuvering_constant_velocity,0.0,12.0,-15.0,M,3,3,0,0,['complete_effect_chain'],['damage_applied'],0.0013705427274449233,0.0013705427274449233,0.0,[],71.01463450879399,71.01639719202768,True,False,False,False
kces_anchor_grid_cv_12km_m30deg,nonmaneuvering_constant_velocity,0.0,12.0,-30.0,M,3,3,0,0,['complete_effect_chain'],['damage_applied'],0.001380850645794409,0.001380850645794409,0.0,[],51.18673381760746,51.18996775665272,True,False,False,False
kces_anchor_grid_cv_12km_m45deg,nonmaneuvering_constant_velocity,0.0,12.0,-45.0,O,3,3,0,0,['complete_effect_chain'],['damage_applied'],0.0013841337507012703,0.0013841337507012703,0.0,[],29.38132581345026,29.39076212483991,True,False,True,False
kces_anchor_grid_cv_12km_m60deg,nonmaneuvering_constant_velocity,0.0,12.0,-60.0,O,3,3,0,0,['complete_effect_chain'],['damage_applied'],0.0013925410669541598,0.0013925410669541598,0.0,[],2.2050680840209225,2.218540604662877,True,False,True,False
kces_anchor_grid_cv_12km_m75deg,nonmaneuvering_constant_velocity,0.0,12.0,-75.0,O,3,0,0,3,['outside_no_load'],[''],9679.150533334392,9679.150533334392,0.0,[],4.245851443612764,28.605258324794463,True,False,False,False
kces_anchor_grid_cv_12km_m90deg,nonmaneuvering_constant_velocity,0.0,12.0,-90.0,O,3,0,0,3,['outside_no_load'],['missile_timeout'],12000.033661218218,12000.033661218218,0.0,[],0.0,74.6492110433291,True,False,False,False
kces_anchor_grid_cv_12km_p0deg,nonmaneuvering_constant_velocity,0.0,12.0,0.0,N,3,3,0,0,['complete_effect_chain'],['damage_applied'],0.0013622122686153253,0.0013622122686153253,0.0,[],89.99999999999994,90.0,True,False,False,False
kces_anchor_grid_cv_12km_p15deg,nonmaneuvering_constant_velocity,0.0,12.0,15.0,M,3,3,0,0,['complete_effect_chain'],['damage_applied'],0.0013665419301073169,0.0013665419301073169,0.0,[],71.01463450879399,71.01639719202768,True,False,False,False
kces_anchor_grid_cv_12km_p30deg,nonmaneuvering_constant_velocity,0.0,12.0,30.0,M,3,3,0,0,['complete_effect_chain'],['damage_applied'],0.001375627849376836,0.001375627849376836,0.0,[],51.18673381760746,51.18996775665272,True,False,False,False
kces_anchor_grid_cv_12km_p45deg,nonmaneuvering_constant_velocity,0.0,12.0,45.0,O,3,3,0,0,['complete_effect_chain'],['damage_applied'],0.0013804545360618027,0.0013804545360618027,0.0,[],29.38132581345026,29.39076212483991,True,False,True,False
kces_anchor_grid_cv_12km_p60deg,nonmaneuvering_constant_velocity,0.0,12.0,60.0,O,3,3,0,0,['complete_effect_chain'],['damage_applied'],0.001392188458806662,0.001392188458806662,0.0,[],2.2050680840209225,2.218540604662877,True,False,True,False
kces_anchor_grid_cv_12km_p75deg,nonmaneuvering_constant_velocity,0.0,12.0,75.0,O,3,0,0,3,['outside_no_load'],[''],9679.15057195367,9679.15057195367,0.0,[],4.245851443612764,28.605258324794463,True,False,False,False
kces_anchor_grid_cv_12km_p90deg,nonmaneuvering_constant_velocity,0.0,12.0,90.0,O,3,0,0,3,['outside_no_load'],['missile_timeout'],12000.033775364827,12000.033775364827,0.0,[],0.0,74.6492110433291,True,False,False,False
kces_anchor_grid_cv_16km_m15deg,nonmaneuvering_constant_velocity,0.0,16.0,-15.0,M,3,3,0,0,['complete_effect_chain'],['damage_applied'],0.0013654878348433297,0.0013654878348433297,0.0,[],70.79801949491542,70.80140928568864,True,False,False,False
kces_anchor_grid_cv_16km_m30deg,nonmaneuvering_constant_velocity,0.0,16.0,-30.0,O,3,3,0,0,['complete_effect_chain'],['damage_applied'],0.0013849725587759766,0.0013849725587759766,0.0,[],50.70359928092603,50.707841756330396,True,False,True,False
kces_anchor_grid_cv_16km_m45deg,nonmaneuvering_constant_velocity,0.0,16.0,-45.0,O,3,3,0,0,['complete_effect_chain'],['damage_applied'],0.0013812070147824122,0.0013812070147824122,0.0,[],28.46224958128161,28.472281490025594,True,False,True,False
kces_anchor_grid_cv_16km_m60deg,nonmaneuvering_constant_velocity,0.0,16.0,-60.0,O,3,3,0,0,['complete_effect_chain'],['damage_applied'],0.0013948673822559003,0.0013948673822559003,0.0,[],0.07838810567382382,0.07837829291376863,True,False,True,False
kces_anchor_grid_cv_16km_m75deg,nonmaneuvering_constant_velocity,0.0,16.0,-75.0,O,3,0,0,3,['outside_no_load'],[''],13158.387289284567,13158.387289284567,0.0,[],3.0868694906003356,26.057403184761597,True,False,False,False
kces_anchor_grid_cv_16km_m90deg,nonmaneuvering_constant_velocity,0.0,16.0,-90.0,O,3,0,0,3,['outside_no_load'],['missile_timeout'],16000.025231660811,16000.025231660811,0.0,[],0.0,69.89588874242139,True,False,False,False
kces_anchor_grid_cv_16km_p0deg,nonmaneuvering_constant_velocity,0.0,16.0,0.0,M,3,3,0,0,['complete_effect_chain'],['damage_applied'],0.0013622124199678543,0.0013622124199678543,0.0,[],90.0,90.0,True,False,False,False
kces_anchor_grid_cv_16km_p15deg,nonmaneuvering_constant_velocity,0.0,16.0,15.0,M,3,3,0,0,['complete_effect_chain'],['damage_applied'],0.0013631652629329033,0.0013631652629329033,0.0,[],70.79801949491542,70.80140928568864,True,False,False,False
kces_anchor_grid_cv_16km_p30deg,nonmaneuvering_constant_velocity,0.0,16.0,30.0,O,3,3,0,0,['complete_effect_chain'],['damage_applied'],0.0013792065935450569,0.0013792065935450569,0.0,[],50.70359928092603,50.707841756330396,True,False,True,False
