case_id,seed,target_motion_layer,target_motion_profile_id,maneuver_severity,target_acceleration_x_mps2,range_km,bearing_deg,launch_class,nearest_distance_m,entered_R_fuze,fuze_triggered,detonated,fuze_reason,fuze_terminal_track_valid,fuze_target_detected,fuze_sensor_opportunity_score,fuze_quality,seeker_fov_half_angle_deg,max_abs_filtered_bearing_deg,max_seeker_fov_excess_deg,max_abs_detection_bearing_deg,max_detection_fov_excess_deg,first_detection_outside_fov_time_s,first_memory_time_s,first_ballistic_time_s,track_memory_timeout_s,observed_memory_to_ballistic_s,last_runtime_seeker_mode,last_runtime_seeker_mode_name,terminal_track_residual_cause,effect_family,component_load_row_count,component_response_row_count,consequence_present,consequence_zero_when_untriggered,outcome_state,chain_state,stage_ids_exact,stage_owners_clean,approach_and_fuze_observed,response_owner_clean,no_guidance_override,resolved_runtime_mismatch,authority_guarded,structural_consistent,structural_violations,nominal_guidance_residual,legacy_negative_control_alert,in_radius_fuze_blocked
kces_anchor_grid_cv_16km_p0deg,20260621,nonmaneuvering_constant_velocity,constant_velocity_v0,none,0.0,16.0,0.0,M,0.0013622124199678543,True,True,True,fuze_armed,True,True,1.0,0.9999318893790016,90.0,180.0,90.0,180.0,90.0,11.966666666666667,11.983333333333333,,0.75,,1,memory,,blast_fragmentation,6,6,True,True,damage_applied,complete_effect_chain,True,True,True,True,True,{},True,True,[],False,False,False
kces_anchor_grid_cv_16km_p15deg,20260621,nonmaneuvering_constant_velocity,constant_velocity_v0,none,0.0,16.0,15.0,M,0.0013631652629329033,True,True,True,fuze_armed,True,True,1.0,0.9999318417368533,90.0,160.79801949491542,70.79801949491542,160.80140928568864,70.80140928568864,12.733333333333333,12.75,,0.75,,1,memory,,blast_fragmentation,6,6,True,True,damage_applied,complete_effect_chain,True,True,True,True,True,{},True,True,[],False,False,False
kces_anchor_grid_cv_16km_p30deg,20260621,nonmaneuvering_constant_velocity,constant_velocity_v0,none,0.0,16.0,30.0,O,0.0013792065935450569,True,True,True,fuze_armed,True,True,1.0,0.9999310396703227,90.0,140.70359928092603,50.70359928092603,140.7078417563304,50.707841756330396,15.666666666666666,15.683333333333334,,0.75,,1,memory,,blast_fragmentation,6,6,True,True,damage_applied,complete_effect_chain,True,True,True,True,True,{},True,True,[],False,True,False
kces_anchor_grid_cv_16km_p45deg,20260621,nonmaneuvering_constant_velocity,constant_velocity_v0,none,0.0,16.0,45.0,O,0.0013778773114455735,True,True,True,fuze_armed,True,True,1.0,0.9999311061344277,90.0,118.46224958128161,28.46224958128161,118.4722814900256,28.472281490025594,20.983333333333334,21.0,,0.75,,1,memory,,blast_fragmentation,6,6,True,True,damage_applied,complete_effect_chain,True,True,True,True,True,{},True,True,[],False,True,False
kces_anchor_grid_cv_16km_p60deg,20260621,nonmaneuvering_constant_velocity,constant_velocity_v0,none,0.0,16.0,60.0,O,0.0013948812775081538,True,True,True,fuze_armed,True,True,1.0,0.9999302559361246,90.0,90.07838810567382,0.07838810567382382,90.07837829291377,0.07837829291376863,32.55,32.56666666666666,,0.75,,0,track,,blast_fragmentation,6,6,True,True,damage_applied,complete_effect_chain,True,True,True,True,True,{},True,True,[],False,True,False
kces_anchor_grid_cv_16km_p75deg,20260621,nonmaneuvering_constant_velocity,constant_velocity_v0,none,0.0,16.0,75.0,O,13158.387328791705,False,False,False,miss_outside_trigger_radius,False,False,0.0,0.0,90.0,93.08686949060034,3.0868694906003356,116.0574031847616,26.057403184761597,3.65,3.6666666666666665,4.4,0.75,0.7333333333333338,2,ballistic,,,0,0,False,True,,outside_no_load,True,True,True,True,True,{},True,True,[],False,False,False
kces_anchor_grid_cv_16km_p90deg,20260621,nonmaneuvering_constant_velocity,constant_velocity_v0,none,0.0,16.0,90.0,O,16000.02534580756,False,False,False,missile_max_flight_time_exceeded,False,False,0.0,0.0,90.0,90.0,0.0,159.8958887424214,69.89588874242139,0.0,0.016666666666666666,0.75,0.75,0.7333333333333333,2,ballistic,,blast_fragmentation,0,0,True,True,missile_timeout,outside_no_load,True,True,True,True,True,{},True,True,[],False,False,False
kces_anchor_grid_cv_4km_m15deg,20260621,nonmaneuvering_constant_velocity,constant_velocity_v0,none,0.0,4.0,-15.0,N,0.0013646080525311329,True,True,True,fuze_armed,True,True,1.0,0.9999317695973734,90.0,161.71181135148606,71.71181135148606,161.71379133199036,71.71379133199036,3.3666666666666667,3.3833333333333333,,0.75,,1,memory,,blast_fragmentation,6,6,True,True,damage_applied,complete_effect_chain,True,True,True,True,True,{},True,True,[],False,False,False
kces_anchor_grid_cv_4km_m30deg,20260621,nonmaneuvering_constant_velocity,constant_velocity_v0,none,0.0,4.0,-30.0,N,0.0013720662808843096,True,True,True,fuze_armed,True,True,1.0,0.9999313966859558,90.0,142.9394377726567,52.9394377726567,142.94238358504376,52.94238358504376,3.6,3.6166666666666667,,0.75,,1,memory,,blast_fragmentation,6,6,True,True,damage_applied,complete_effect_chain,True,True,True,True,True,{},True,True,[],False,False,False
kces_anchor_grid_cv_4km_m45deg,20260621,nonmaneuvering_constant_velocity,constant_velocity_v0,none,0.0,4.0,-45.0,M,0.0013931658301945674,True,True,True,fuze_armed,True,True,1.0,0.9999303417084903,90.0,121.31263957293844,31.312639572938437,121.32168349935151,31.321683499351508,4.15,4.166666666666667,,0.75,,1,memory,,blast_fragmentation,6,6,True,True,damage_applied,complete_effect_chain,True,True,True,True,True,{},True,True,[],False,False,False
