case_id,range_km,bearing_deg,target_accel_x_mps2,apn_gain,seed,maneuver_onset_time_s,nearest_distance_m,entered_R_fuze,nearest_approach_time_s,estimator_first_valid_time_s,estimator_convergence_time_s,time_to_go_at_estimator_valid_s,time_to_go_at_estimator_convergence_s,apn_first_nonzero_time_s,time_to_go_at_first_apn_s,trace_sample_count,trace_dt_s,max_pn_acceleration_mps2,rms_pn_acceleration_mps2,pn_impulse_mps,max_apn_acceleration_mps2,rms_apn_acceleration_mps2,apn_impulse_mps,apn_to_pn_impulse_ratio,max_component_sum_error_mps2,resolved_runtime_mismatch,nearest_distance_delta_vs_apn0_m
p10_null_r7p5_bp60_ap8_g0p25_s20260621,7.5,60.0,8.0,0.25,20260621,0.0,0.0014187963697104788,True,15.17749748905244,3.0166666666666666,3.1166666666666667,12.160830822385773,12.060830822385773,3.0166666666666666,12.160830822385773,910,0.016666666666666607,406.4687819746815,160.80726781850052,1532.8306285908575,0.44565392765272793,0.16319398049528522,1.7456462044739478,0.0011388382851396526,3.845950411262268e-14,{},3.4409835604853976e-06
p10_null_r7p5_bp60_ap8_g0p25_s20260622,7.5,60.0,8.0,0.25,20260622,0.0,0.0014187963697104788,True,15.17749748905244,3.0166666666666666,3.1166666666666667,12.160830822385773,12.060830822385773,3.0166666666666666,12.160830822385773,910,0.016666666666666607,406.4687819746815,160.80726781850052,1532.8306285908575,0.44565392765272793,0.16319398049528522,1.7456462044739478,0.0011388382851396526,3.845950411262268e-14,{},3.4409835604853976e-06
p10_null_r7p5_bp60_ap8_g0p25_s20260623,7.5,60.0,8.0,0.25,20260623,0.0,0.0014187963697104788,True,15.17749748905244,3.0166666666666666,3.1166666666666667,12.160830822385773,12.060830822385773,3.0166666666666666,12.160830822385773,910,0.016666666666666607,406.4687819746815,160.80726781850052,1532.8306285908575,0.44565392765272793,0.16319398049528522,1.7456462044739478,0.0011388382851396526,3.845950411262268e-14,{},3.4409835604853976e-06
p10_null_r7p5_bp60_ap8_g0p5_s20260621,7.5,60.0,8.0,0.5,20260621,0.0,0.0013823690904965745,True,15.18331646899881,3.0166666666666666,3.1166666666666667,12.166649802332142,12.066649802332142,3.0166666666666666,12.166649802332142,910,0.016666666666666607,406.4687819746815,160.75493932813376,1530.7063827310005,0.8913105186334342,0.32700254923925776,3.5106530974351875,0.0022934856331961436,4.5333140103742344e-14,{},-3.298629565341889e-05
p10_null_r7p5_bp60_ap8_g0p5_s20260622,7.5,60.0,8.0,0.5,20260622,0.0,0.0013823690904965745,True,15.18331646899881,3.0166666666666666,3.1166666666666667,12.166649802332142,12.066649802332142,3.0166666666666666,12.166649802332142,910,0.016666666666666607,406.4687819746815,160.75493932813376,1530.7063827310005,0.8913105186334342,0.32700254923925776,3.5106530974351875,0.0022934856331961436,4.5333140103742344e-14,{},-3.298629565341889e-05
p10_null_r7p5_bp60_ap8_g0p5_s20260623,7.5,60.0,8.0,0.5,20260623,0.0,0.0013823690904965745,True,15.18331646899881,3.0166666666666666,3.1166666666666667,12.166649802332142,12.066649802332142,3.0166666666666666,12.166649802332142,910,0.016666666666666607,406.4687819746815,160.75493932813376,1530.7063827310005,0.8913105186334342,0.32700254923925776,3.5106530974351875,0.0022934856331961436,4.5333140103742344e-14,{},-3.298629565341889e-05
p10_null_r8_bm60_am8_g0_s20260621,8.0,-60.0,-8.0,0.0,20260621,0.0,0.001416671135583343,True,16.683622761449012,3.0166666666666666,3.1166666666666667,13.666956094782346,13.566956094782345,,,1001,0.016666666666666607,388.3053337178473,147.64031429986926,1522.3179315365692,0.0,0.0,0.0,0.0,0.0,{},0.0
p10_null_r8_bm60_am8_g0_s20260622,8.0,-60.0,-8.0,0.0,20260622,0.0,0.001416671135583343,True,16.683622761449012,3.0166666666666666,3.1166666666666667,13.666956094782346,13.566956094782345,,,1001,0.016666666666666607,388.3053337178473,147.64031429986926,1522.3179315365692,0.0,0.0,0.0,0.0,0.0,{},0.0
p10_null_r8_bm60_am8_g0_s20260623,8.0,-60.0,-8.0,0.0,20260623,0.0,0.001416671135583343,True,16.683622761449012,3.0166666666666666,3.1166666666666667,13.666956094782346,13.566956094782345,,,1001,0.016666666666666607,388.3053337178473,147.64031429986926,1522.3179315365692,0.0,0.0,0.0,0.0,0.0,{},0.0
p10_null_r8_bm60_am8_g0p125_s20260621,8.0,-60.0,-8.0,0.125,20260621,0.0,0.001454337260595151,True,16.687464004754855,3.0166666666666666,3.1166666666666667,13.670797338088189,13.570797338088187,3.0166666666666666,13.670797338088189,1001,0.016666666666666607,388.3053337178473,147.61071840695652,1521.072631400156,0.2349706890441804,0.08722618704484741,1.0353066001774038,0.0006806424484966232,3.956228234393646e-14,{},3.766612501180798e-05
p10_null_r8_bm60_am8_g0p125_s20260622,8.0,-60.0,-8.0,0.125,20260622,0.0,0.001454337260595151,True,16.687464004754855,3.0166666666666666,3.1166666666666667,13.670797338088189,13.570797338088187,3.0166666666666666,13.670797338088189,1001,0.016666666666666607,388.3053337178473,147.61071840695652,1521.072631400156,0.2349706890441804,0.08722618704484741,1.0353066001774038,0.0006806424484966232,3.956228234393646e-14,{},3.766612501180798e-05
p10_null_r8_bm60_am8_g0p125_s20260623,8.0,-60.0,-8.0,0.125,20260623,0.0,0.001454337260595151,True,16.687464004754855,3.0166666666666666,3.1166666666666667,13.670797338088189,13.570797338088187,3.0166666666666666,13.670797338088189,1001,0.016666666666666607,388.3053337178473,147.61071840695652,1521.072631400156,0.2349706890441804,0.08722618704484741,1.0353066001774038,0.0006806424484966232,3.956228234393646e-14,{},3.766612501180798e-05
