after_nearest_distance_m,after_variant,before_nearest_distance_m,before_variant,case_group,effect_id,miss_distance_delta_m,offset_deg,range_km
0.4032820803221484,legacy_no_capture,9.46101350511436,legacy_full_track_quadratic,N30,remove_capture_from_current,-9.057731424792212,30.0,4.0
15.17895832106656,legacy_no_pn,9.46101350511436,legacy_full_track_quadratic,N30,remove_pn_from_current,5.717944815952199,30.0,4.0
9.46101350511436,legacy_full_track_quadratic,9.653494140368618,legacy_no_apn,N30,add_apn_to_current,-0.19248063525425785,30.0,4.0
49.415998524064136,legacy_no_lead,9.46101350511436,legacy_full_track_quadratic,N30,remove_lead_from_current,39.95498501894978,30.0,4.0
9.653494140368618,legacy_no_apn,10.81244637193122,legacy_track_velocity_no_apn,N30,add_acceleration_lead_legacy,-1.1589522315626013,30.0,4.0
8.309739789446692,history_full_track_quadratic,9.46101350511436,legacy_full_track_quadratic,N30,replace_legacy_pn_with_world_history_full,-1.151273715667669,30.0,4.0
8.453272960961826,history_track_quadratic_no_apn,9.653494140368618,legacy_no_apn,N30,replace_legacy_pn_with_world_history_no_apn,-1.2002211794067925,30.0,4.0
9.391942521623728,history_track_velocity_no_apn,10.81244637193122,legacy_track_velocity_no_apn,N30,replace_legacy_pn_with_world_history_velocity,-1.420503850307492,30.0,4.0
10.135068174496855,analytic_track_velocity_no_apn,9.391942521623728,history_track_velocity_no_apn,N30,replace_world_history_with_track_analytic_pn,0.7431256528731272,30.0,4.0
8.453272960961826,history_track_quadratic_no_apn,9.391942521623728,history_track_velocity_no_apn,N30,add_acceleration_lead_world_history,-0.9386695606619018,30.0,4.0
9.098343455215627,analytic_track_quadratic_no_apn,10.135068174496855,analytic_track_velocity_no_apn,N30,add_acceleration_lead_track_analytic,-1.036724719281228,30.0,4.0
9.933506985560594,legacy_truth_velocity_no_apn,10.81244637193122,legacy_track_velocity_no_apn,N30,replace_track_with_truth_cv_for_legacy_capture_lead,-0.8789393863706252,30.0,4.0
7.024353568521045,analytic_truth_velocity_no_apn,10.135068174496855,analytic_track_velocity_no_apn,N30,replace_track_with_truth_cv_for_analytic_chain,-3.1107146059758097,30.0,4.0
7.024353568521045,analytic_truth_quadratic_no_apn,7.024353568521045,analytic_truth_velocity_no_apn,N30,truth_cv_quadratic_invariant,0.0,30.0,4.0
7.024353568521045,analytic_truth_velocity_apn,7.024353568521045,analytic_truth_velocity_no_apn,N30,truth_cv_apn_invariant,0.0,30.0,4.0
0.4032820803221484,legacy_no_capture,0.4032820803221484,legacy_no_capture_no_lead,N30,lead_requires_capture_invariant,0.0,30.0,4.0
28.22425285720938,legacy_no_capture,22.4382466308134,legacy_full_track_quadratic,M45,remove_capture_from_current,5.78600622639598,45.0,4.0
28.54798836480616,legacy_no_pn,22.4382466308134,legacy_full_track_quadratic,M45,remove_pn_from_current,6.1097417339927595,45.0,4.0
22.4382466308134,legacy_full_track_quadratic,22.4506744050716,legacy_no_apn,M45,add_apn_to_current,-0.01242777425819952,45.0,4.0
100.36984335070778,legacy_no_lead,22.4382466308134,legacy_full_track_quadratic,M45,remove_lead_from_current,77.93159671989439,45.0,4.0
22.4506744050716,legacy_no_apn,24.022232366575167,legacy_track_velocity_no_apn,M45,add_acceleration_lead_legacy,-1.5715579615035686,45.0,4.0
16.736120691798508,history_full_track_quadratic,22.4382466308134,legacy_full_track_quadratic,M45,replace_legacy_pn_with_world_history_full,-5.702125939014891,45.0,4.0
16.843616892262812,history_track_quadratic_no_apn,22.4506744050716,legacy_no_apn,M45,replace_legacy_pn_with_world_history_no_apn,-5.607057512808787,45.0,4.0
18.097377536911956,history_track_velocity_no_apn,24.022232366575167,legacy_track_velocity_no_apn,M45,replace_legacy_pn_with_world_history_velocity,-5.924854829663211,45.0,4.0
18.760477473278918,analytic_track_velocity_no_apn,18.097377536911956,history_track_velocity_no_apn,M45,replace_world_history_with_track_analytic_pn,0.6630999363669616,45.0,4.0
16.843616892262812,history_track_quadratic_no_apn,18.097377536911956,history_track_velocity_no_apn,M45,add_acceleration_lead_world_history,-1.2537606446491445,45.0,4.0
17.56586425141634,analytic_track_quadratic_no_apn,18.760477473278918,analytic_track_velocity_no_apn,M45,add_acceleration_lead_track_analytic,-1.1946132218625785,45.0,4.0
23.29446891569258,legacy_truth_velocity_no_apn,24.022232366575167,legacy_track_velocity_no_apn,M45,replace_track_with_truth_cv_for_legacy_capture_lead,-0.7277634508825876,45.0,4.0
15.63923011142604,analytic_truth_velocity_no_apn,18.760477473278918,analytic_track_velocity_no_apn,M45,replace_track_with_truth_cv_for_analytic_chain,-3.1212473618528787,45.0,4.0
15.63923011142604,analytic_truth_quadratic_no_apn,15.63923011142604,analytic_truth_velocity_no_apn,M45,truth_cv_quadratic_invariant,0.0,45.0,4.0
15.63923011142604,analytic_truth_velocity_apn,15.63923011142604,analytic_truth_velocity_no_apn,M45,truth_cv_apn_invariant,0.0,45.0,4.0
28.22425285720938,legacy_no_capture,28.22425285720938,legacy_no_capture_no_lead,M45,lead_requires_capture_invariant,0.0,45.0,4.0
0.0032191216825466582,legacy_no_capture,10.266867992309365,legacy_full_track_quadratic,N30,remove_capture_from_current,-10.263648870626819,30.0,6.0
17.388639029235257,legacy_no_pn,10.266867992309365,legacy_full_track_quadratic,N30,remove_pn_from_current,7.121771036925892,30.0,6.0
10.266867992309365,legacy_full_track_quadratic,10.556771106568362,legacy_no_apn,N30,add_apn_to_current,-0.2899031142589976,30.0,6.0
54.050944826688244,legacy_no_lead,10.266867992309365,legacy_full_track_quadratic,N30,remove_lead_from_current,43.78407683437888,30.0,6.0
10.556771106568362,legacy_no_apn,11.2570912870138,legacy_track_velocity_no_apn,N30,add_acceleration_lead_legacy,-0.7003201804454378,30.0,6.0
8.845805451190662,history_full_track_quadratic,10.266867992309365,legacy_full_track_quadratic,N30,replace_legacy_pn_with_world_history_full,-1.4210625411187028,30.0,6.0
9.053174682440691,history_track_quadratic_no_apn,10.556771106568362,legacy_no_apn,N30,replace_legacy_pn_with_world_history_no_apn,-1.5035964241276716,30.0,6.0
9.619445294234096,history_track_velocity_no_apn,11.2570912870138,legacy_track_velocity_no_apn,N30,replace_legacy_pn_with_world_history_velocity,-1.6376459927797047,30.0,6.0
10.203764273403607,analytic_track_velocity_no_apn,9.619445294234096,history_track_velocity_no_apn,N30,replace_world_history_with_track_analytic_pn,0.5843189791695114,30.0,6.0
9.053174682440691,history_track_quadratic_no_apn,9.619445294234096,history_track_velocity_no_apn,N30,add_acceleration_lead_world_history,-0.5662706117934047,30.0,6.0
9.623218157283901,analytic_track_quadratic_no_apn,10.203764273403607,analytic_track_velocity_no_apn,N30,add_acceleration_lead_track_analytic,-0.5805461161197059,30.0,6.0
10.420182171750046,legacy_truth_velocity_no_apn,11.2570912870138,legacy_track_velocity_no_apn,N30,replace_track_with_truth_cv_for_legacy_capture_lead,-0.8369091152637544,30.0,6.0
7.1393308544024645,analytic_truth_velocity_no_apn,10.203764273403607,analytic_track_velocity_no_apn,N30,replace_track_with_truth_cv_for_analytic_chain,-3.0644334190011424,30.0,6.0
7.1393308544024645,analytic_truth_quadratic_no_apn,7.1393308544024645,analytic_truth_velocity_no_apn,N30,truth_cv_quadratic_invariant,0.0,30.0,6.0
7.1393308544024645,analytic_truth_velocity_apn,7.1393308544024645,analytic_truth_velocity_no_apn,N30,truth_cv_apn_invariant,0.0,30.0,6.0
0.0032191216825466582,legacy_no_capture,0.0032191216825466582,legacy_no_capture_no_lead,N30,lead_requires_capture_invariant,0.0,30.0,6.0
50.7856079761083,legacy_no_capture,22.10102141518329,legacy_full_track_quadratic,M45,remove_capture_from_current,28.684586560925013,45.0,6.0
31.68329319658899,legacy_no_pn,22.10102141518329,legacy_full_track_quadratic,M45,remove_pn_from_current,9.582271781405701,45.0,6.0
22.10102141518329,legacy_full_track_quadratic,22.42349495074992,legacy_no_apn,M45,add_apn_to_current,-0.3224735355666297,45.0,6.0
105.88012180848435,legacy_no_lead,22.10102141518329,legacy_full_track_quadratic,M45,remove_lead_from_current,83.77910039330106,45.0,6.0
22.42349495074992,legacy_no_apn,23.818083037961955,legacy_track_velocity_no_apn,M45,add_acceleration_lead_legacy,-1.3945880872120355,45.0,6.0
16.471668094150335,history_full_track_quadratic,22.10102141518329,legacy_full_track_quadratic,M45,replace_legacy_pn_with_world_history_full,-5.629353321032955,45.0,6.0
16.65666837287487,history_track_quadratic_no_apn,22.42349495074992,legacy_no_apn,M45,replace_legacy_pn_with_world_history_no_apn,-5.766826577875051,45.0,6.0
17.581154896911855,history_track_velocity_no_apn,23.818083037961955,legacy_track_velocity_no_apn,M45,replace_legacy_pn_with_world_history_velocity,-6.2369281410501,45.0,6.0
18.67755406077506,analytic_track_velocity_no_apn,17.581154896911855,history_track_velocity_no_apn,M45,replace_world_history_with_track_analytic_pn,1.0963991638632038,45.0,6.0
