aspect_bucket,bearing_deg,case_id,closest_sample_filtered_range_m,closest_sample_heading_velocity_error_deg,closest_sample_speed_mps,closure_mps,command_saturation_fraction,entered_R_fuze,launch_class,local_forward_m,local_right_m,local_up_m,max_abs_bearing_rate_deg_s,max_abs_heading_velocity_error_deg,max_achieved_g,max_apn_g,max_commanded_g,max_lead_blend,max_lead_time_s,max_track_accel_g,mechanisms,nearest_approach_time_s,nearest_distance_m,offset_deg,range_km,rho_fuze,sample_count,terminal_max_abs_bearing_rate_deg_s,terminal_mean_achieved_g,terminal_mean_commanded_g,terminal_mean_track_accel_g,terminal_sample_count,tuning_overrides,variant_id
beam,30.0,guidance_ablation_cv_6km_p30deg,156.05862586407318,55.22763613022776,878.5174494848218,1069.2651587533608,0.06514657980456026,False,N,-12.088868764286183,12.498581481668731,0.10014586288711641,246.3731403345597,55.60449132610158,34.995872252878264,6.124999999999999,35.0,0.55,2.5,21.331098819447103,"[""capture"", ""lead"", ""apn""]",5.101185111318817,17.388654814213854,30.0,6.0,1.1592436542809237,307,246.3731403345597,25.799971380357906,27.009986899321273,5.313710695368994,46,"{""apn_target_accel_gain"": 0.5, ""nav_gain"": 1e-09}",capture_lead_apn
beam,30.0,guidance_ablation_cv_6km_p30deg,164.66602373723012,48.76789064776463,974.6374075305778,1213.5008511015546,0.05782312925170068,True,N,-6.512862462787104,7.9365030661399505,0.0590108626343873,235.84161591329257,49.107813115228154,34.9809072461049,6.124999999999998,35.0,0.55,2.5,22.08412106006115,"[""capture"", ""pn"", ""lead"", ""apn""]",4.878130547747063,10.266885635865135,30.0,6.0,0.684459042391009,294,235.84161591329257,21.891725202984496,23.23642907612767,4.7487856638493104,47,"{""apn_target_accel_gain"": 0.5, ""nav_gain"": 4.0}",full
beam,30.0,guidance_ablation_cv_6km_p30deg,27.40899612246362,48.60482930279989,977.5425018743773,767.5619561710274,0.05802047781569966,True,N,-4.979077509602996,6.050110112018459,0.045370596082788255,1909.6204601812494,49.28649961053296,34.984692667748924,3.369503239854941,35.0,0.55,2.5,28.847264807391383,"[""capture"", ""pn"", ""lead"", ""apn"", ""unfiltered_track""]",4.8560911217950515,7.83563039615651,30.0,6.0,0.5223753597437674,293,1909.6204601812494,22.36652057678186,23.69512609506393,0.00647980452071455,47,"{""apn_target_accel_gain"": 0.5, ""bearing_filter_tau_s"": 0.0, ""elevation_filter_tau_s"": 0.0, ""nav_gain"": 4.0, ""range_filter_tau_s"": 0.0}",full_no_track_filter
beam,30.0,guidance_ablation_cv_6km_p30deg,163.09103430219875,48.7507150571919,967.9817070905465,1208.2230959729407,0.051194539249146756,True,N,-6.1684037861150305,7.535062655150854,0.05602924560509387,240.37390827371325,49.093138924098895,35.0,6.124999999999999,35.0,0.55,2.5,22.259077497611372,"[""capture"", ""pn"", ""lead"", ""apn"", ""near_instant_scalar_autopilot""]",4.860776490023171,9.738044658039568,30.0,6.0,0.6492029772026379,293,240.37390827371325,22.194673662737213,22.228353208195152,4.817940608757652,47,"{""apn_target_accel_gain"": 0.5, ""autopilot_tau_s"": 0.001, ""max_accel_response_g_per_s"": 1000000.0, ""nav_gain"": 4.0}",full_fast_scalar_autopilot
beam,30.0,guidance_ablation_cv_6km_p30deg,178.87976710028323,48.53561338535034,987.3555202832418,1248.5024170484962,0.061016949152542375,True,N,-6.752736540470928,8.200221049440344,0.061028904461325646,127.44944565958711,49.20872795814825,34.90044496564311,6.124999999999999,35.0,0.55,2.5,21.97934647464118,"[""capture"", ""pn"", ""lead"", ""apn"", ""second_order_autopilot""]",4.889228489567188,10.622937473781283,30.0,6.0,0.7081958315854189,295,127.44944565958711,21.834283493602015,23.953453828610233,4.566380637300659,47,"{""apn_target_accel_gain"": 0.5, ""autopilot_damping"": 1.0, ""autopilot_order"": 2, ""nav_gain"": 4.0}",full_autopilot_order2
beam,30.0,guidance_ablation_cv_6km_p30deg,179.36240683673574,48.52099233966543,994.3647775682682,1251.682359720274,0.06418918918918919,True,N,-7.124841960855948,8.639629977809337,0.06427101131506492,134.45723157580244,49.18776363283334,34.825823040388116,6.124999999999998,35.0,0.55,2.5,21.84667143808465,"[""capture"", ""pn"", ""lead"", ""apn"", ""third_order_autopilot""]",4.905567875986739,11.198692329175564,30.0,6.0,0.7465794886117043,296,134.45723157580244,21.44966168683381,24.706869724492876,4.526886223996591,47,"{""apn_target_accel_gain"": 0.5, ""autopilot_damping"": 1.0, ""autopilot_order"": 3, ""nav_gain"": 4.0}",full_autopilot_order3
tail,-30.0,guidance_ablation_cv_8km_m30deg,110.56031005738046,-85.52985807262623,539.1862427552609,677.072514852744,0.08893709327548807,False,N,-102.88467022001102,-55.83529818554818,0.24468809551711806,66.82533869003149,85.52985807262623,34.99999871992924,0.0,35.0,0.0,0.0,0.0,"[""capture""]",7.679454873123985,117.05936853585753,30.0,8.0,7.803957902390502,461,66.82533869003149,34.51819367123535,34.80332324399854,0.0,46,"{""apn_target_accel_gain"": 0.0, ""nav_gain"": 1e-09}",capture_only
tail,-30.0,guidance_ablation_cv_8km_m30deg,150.65948842955675,-61.15389943805912,730.9843630291679,864.3174691264596,0.07948717948717948,False,N,-44.11976476032887,-41.11167226716564,0.0424786264976559,161.14136031629513,61.60608783352261,34.99992999544377,0.0,35.0,0.0,0.0,0.0,"[""capture"", ""pn""]",6.490650218344817,60.30526547112924,30.0,8.0,4.020351031408616,390,161.14136031629513,31.872352211451865,32.60959625456116,0.0,46,"{""apn_target_accel_gain"": 0.0, ""nav_gain"": 4.0}",capture_pn
tail,-30.0,guidance_ablation_cv_8km_m30deg,115.10419107787591,-68.43540207074464,662.1608360099109,820.3549718575056,0.04656319290465632,False,N,-16.793775913825762,-13.442970138076818,0.025136495790304247,139.76114014390845,68.43540207074464,34.99689689491222,1.0336444718148998e-08,35.0,0.55,2.5,21.132360985988132,"[""capture"", ""lead""]",7.5139160599976105,21.51150825535992,30.0,8.0,1.434100550357328,451,139.76114014390845,26.36199679541285,27.533977614384582,3.312301405648924,46,"{""apn_target_accel_gain"": 1e-09, ""nav_gain"": 1e-09}",capture_lead
beam,-30.0,guidance_ablation_cv_8km_m30deg,148.69064885064626,-52.305271473782575,896.4195087317606,1145.891622746837,0.044386422976501305,True,N,-7.481983764720007,-8.411316223532523,0.0030333448864156903,126.54895702256557,52.674559844361184,34.98490391357975,1.1570080711784863e-08,35.0,0.55,2.5,21.458257639865167,"[""capture"", ""pn"", ""lead""]",6.358835581755343,11.25745667852981,30.0,8.0,0.7504971119019873,383,126.54895702256557,22.52388261919846,23.84598704702753,3.3908010692255646,47,"{""apn_target_accel_gain"": 1e-09, ""nav_gain"": 4.0}",capture_pn_lead
