case_id,range_km,signed_bearing_deg,launch_class,first_review_stage,review_priority,review_reason,guidance_expectation_status,entered_R_fuze,rho_fuze,detonated,effect_band,rho_effect_case,load_signal,max_failure_probability,sampled_failure_count,component_response_band,response_signal
kces_anchor_grid_cv_4km_p75deg,4.0,75.0,M,marginal_observation,low,"marginal launch-window cell is observed, not treated as failed",observed_marginal,False,114.71597167544056,False,outside_effect,191.19328612573426,no_load_signal,,0,no_response_rows,missing_response_fact
kces_anchor_grid_cv_4km_m90deg,4.0,-90.0,O,negative_control_satisfied,none,outside-envelope negative control stayed quiet,negative_control_satisfied,False,253.15129624096963,False,outside_effect,421.9188270682827,no_load_signal,,0,no_response_rows,missing_response_fact
kces_anchor_grid_cv_4km_p90deg,4.0,90.0,O,negative_control_satisfied,none,outside-envelope negative control stayed quiet,negative_control_satisfied,False,253.15130154612154,False,outside_effect,421.9188359102026,no_load_signal,,0,no_response_rows,missing_response_fact
kces_anchor_grid_cv_6km_p0deg,6.0,0.0,N,no_review_pressure,none,nominal cell satisfied guidance/fuze/load and observed sampled response,satisfied,True,9.081797298305444e-05,True,core,0.00015136328830509075,load_band_available,0.889662287842263,3,sampled_failure_observed,sampled_failure_observed
kces_anchor_grid_cv_6km_m15deg,6.0,-15.0,N,no_review_pressure,none,nominal cell satisfied guidance/fuze/load and observed sampled response,satisfied,True,0.2139283668747149,True,effective,0.35654727812452486,load_band_available,0.8857890082487979,2,sampled_failure_observed,sampled_failure_observed
kces_anchor_grid_cv_6km_p15deg,6.0,15.0,N,no_review_pressure,none,nominal cell satisfied guidance/fuze/load and observed sampled response,satisfied,True,0.2139314502542259,True,effective,0.3565524170903765,load_band_available,0.8856564974238481,2,sampled_failure_observed,sampled_failure_observed
kces_anchor_grid_cv_6km_m30deg,6.0,-30.0,N,no_review_pressure,none,nominal cell satisfied guidance/fuze and remained outside the selected effective-load radius without sampled response,satisfied,True,0.6844566899168928,True,outside_effect,1.140761149861488,component_load_present_outside_case_band,0.00731975324788651,0,observed_probability_only,probability_only_no_sampled_failure
kces_anchor_grid_cv_6km_p30deg,6.0,30.0,N,no_review_pressure,none,nominal cell satisfied guidance/fuze and remained outside the selected effective-load radius without sampled response,satisfied,True,0.684459042391009,True,outside_effect,1.1407650706516816,component_load_present_outside_case_band,0.007325613998941034,0,observed_probability_only,probability_only_no_sampled_failure
kces_anchor_grid_cv_6km_m45deg,6.0,-45.0,N,guidance_approach,high,nominal cell did not enter the declared fuze radius,guidance_or_model_residual,False,1.473400700835904,False,outside_effect,2.4556678347265066,no_load_signal,,0,no_response_rows,missing_response_fact
kces_anchor_grid_cv_6km_p45deg,6.0,45.0,N,guidance_approach,high,nominal cell did not enter the declared fuze radius,guidance_or_model_residual,False,1.4734021545218676,False,outside_effect,2.455670257536446,no_load_signal,,0,no_response_rows,missing_response_fact
kces_anchor_grid_cv_6km_m60deg,6.0,-60.0,M,marginal_observation,low,"marginal launch-window cell is observed, not treated as failed",observed_marginal,False,7.114503237832902,False,outside_effect,11.85750539638817,no_load_signal,,0,no_response_rows,missing_response_fact
kces_anchor_grid_cv_6km_p60deg,6.0,60.0,M,marginal_observation,low,"marginal launch-window cell is observed, not treated as failed",observed_marginal,False,7.114504027300181,False,outside_effect,11.857506712166968,no_load_signal,,0,no_response_rows,missing_response_fact
kces_anchor_grid_cv_6km_m75deg,6.0,-75.0,O,negative_control_satisfied,none,outside-envelope negative control stayed quiet,negative_control_satisfied,False,129.90027139802706,False,outside_effect,216.50045233004508,no_load_signal,,0,no_response_rows,missing_response_fact
kces_anchor_grid_cv_6km_p75deg,6.0,75.0,O,negative_control_satisfied,none,outside-envelope negative control stayed quiet,negative_control_satisfied,False,129.90027257492744,False,outside_effect,216.5004542915457,no_load_signal,,0,no_response_rows,missing_response_fact
kces_anchor_grid_cv_6km_m90deg,6.0,-90.0,O,negative_control_satisfied,none,outside-envelope negative control stayed quiet,negative_control_satisfied,False,392.2919472799789,False,outside_effect,653.8199121332982,no_load_signal,,0,no_response_rows,missing_response_fact
kces_anchor_grid_cv_6km_p90deg,6.0,90.0,O,negative_control_satisfied,none,outside-envelope negative control stayed quiet,negative_control_satisfied,False,392.2919529717117,False,outside_effect,653.8199216195194,no_load_signal,,0,no_response_rows,missing_response_fact
kces_anchor_grid_cv_8km_p0deg,8.0,0.0,N,no_review_pressure,none,nominal cell satisfied guidance/fuze/load and observed sampled response,satisfied,True,9.081414224252183e-05,True,core,0.00015135690373753636,load_band_available,0.8896623055988623,3,sampled_failure_observed,sampled_failure_observed
kces_anchor_grid_cv_8km_m15deg,8.0,-15.0,N,no_review_pressure,none,nominal cell satisfied guidance/fuze/load and observed sampled response,satisfied,True,0.225933259561511,True,effective,0.37655543260251834,load_band_available,0.8857907246812567,2,sampled_failure_observed,sampled_failure_observed
kces_anchor_grid_cv_8km_p15deg,8.0,15.0,N,no_review_pressure,none,nominal cell satisfied guidance/fuze/load and observed sampled response,satisfied,True,0.22593599627415098,True,effective,0.3765599937902516,load_band_available,0.8856517531279012,2,sampled_failure_observed,sampled_failure_observed
kces_anchor_grid_cv_8km_m30deg,8.0,-30.0,N,no_review_pressure,none,nominal cell satisfied guidance/fuze and remained outside the selected effective-load radius without sampled response,satisfied,True,0.7308964200675603,True,outside_effect,1.2181607001126005,component_load_present_outside_case_band,0.006350331908151525,0,observed_probability_only,probability_only_no_sampled_failure
kces_anchor_grid_cv_8km_p30deg,8.0,30.0,N,no_review_pressure,none,nominal cell satisfied guidance/fuze and remained outside the selected effective-load radius without sampled response,satisfied,True,0.7308986250117762,True,outside_effect,1.218164375019627,component_load_present_outside_case_band,0.0063555841366786684,0,observed_probability_only,probability_only_no_sampled_failure
kces_anchor_grid_cv_8km_m45deg,8.0,-45.0,M,marginal_observation,low,"marginal launch-window cell is observed, not treated as failed",observed_marginal,False,1.6298702609880884,False,outside_effect,2.7164504349801475,no_load_signal,,0,no_response_rows,missing_response_fact
kces_anchor_grid_cv_8km_p45deg,8.0,45.0,M,marginal_observation,low,"marginal launch-window cell is observed, not treated as failed",observed_marginal,False,1.629871632299468,False,outside_effect,2.716452720499113,no_load_signal,,0,no_response_rows,missing_response_fact
kces_anchor_grid_cv_8km_m60deg,8.0,-60.0,M,marginal_observation,low,"marginal launch-window cell is observed, not treated as failed",observed_marginal,False,14.763984405749424,False,outside_effect,24.60664067624904,no_load_signal,,0,no_response_rows,missing_response_fact
kces_anchor_grid_cv_8km_p60deg,8.0,60.0,M,marginal_observation,low,"marginal launch-window cell is observed, not treated as failed",observed_marginal,False,14.763985299447329,False,outside_effect,24.606642165745548,no_load_signal,,0,no_response_rows,missing_response_fact
kces_anchor_grid_cv_8km_m75deg,8.0,-75.0,O,negative_control_satisfied,none,outside-envelope negative control stayed quiet,negative_control_satisfied,False,176.01598457201925,False,outside_effect,293.3599742866988,no_load_signal,,0,no_response_rows,missing_response_fact
kces_anchor_grid_cv_8km_p75deg,8.0,75.0,O,negative_control_satisfied,none,outside-envelope negative control stayed quiet,negative_control_satisfied,False,176.0159858491281,False,outside_effect,293.3599764152135,no_load_signal,,0,no_response_rows,missing_response_fact
kces_anchor_grid_cv_8km_m90deg,8.0,-90.0,O,negative_control_satisfied,none,outside-envelope negative control stayed quiet,negative_control_satisfied,False,530.8138816964116,False,outside_effect,884.6898028273528,no_load_signal,,0,no_response_rows,missing_response_fact
kces_anchor_grid_cv_8km_p90deg,8.0,90.0,O,negative_control_satisfied,none,outside-envelope negative control stayed quiet,negative_control_satisfied,False,530.813887884648,False,outside_effect,884.6898131410801,no_load_signal,,0,no_response_rows,missing_response_fact
kces_anchor_grid_cv_10km_p0deg,10.0,0.0,N,no_review_pressure,none,nominal cell satisfied guidance/fuze/load and observed sampled response,satisfied,True,9.081414660964423e-05,True,core,0.00015135691101607373,load_band_available,0.8896623056315116,3,sampled_failure_observed,sampled_failure_observed
kces_anchor_grid_cv_10km_m15deg,10.0,-15.0,N,no_review_pressure,none,nominal cell satisfied guidance/fuze/load and observed sampled response,satisfied,True,0.23943965793994113,True,effective,0.39906609656656855,load_band_available,0.9181217607341536,2,sampled_failure_observed,sampled_failure_observed
kces_anchor_grid_cv_10km_p15deg,10.0,15.0,N,no_review_pressure,none,nominal cell satisfied guidance/fuze/load and observed sampled response,satisfied,True,0.23944237898422455,True,effective,0.39907063164037426,load_band_available,0.9040254469880563,2,sampled_failure_observed,sampled_failure_observed
kces_anchor_grid_cv_10km_m30deg,10.0,-30.0,M,marginal_observation,low,"marginal launch-window cell is observed, not treated as failed",observed_marginal,True,0.7918105038176207,True,outside_effect,1.319684173029368,component_load_present_outside_case_band,0.0052409412636684445,0,observed_probability_only,probability_only_no_sampled_failure
kces_anchor_grid_cv_10km_p30deg,10.0,30.0,M,marginal_observation,low,"marginal launch-window cell is observed, not treated as failed",observed_marginal,True,0.7918126329437798,True,outside_effect,1.3196877215729663,component_load_present_outside_case_band,0.00524598339647253,0,observed_probability_only,probability_only_no_sampled_failure
kces_anchor_grid_cv_10km_m45deg,10.0,-45.0,M,marginal_observation,low,"marginal launch-window cell is observed, not treated as failed",observed_marginal,False,2.016405595601877,False,outside_effect,3.360675992669795,no_load_signal,,0,no_response_rows,missing_response_fact
kces_anchor_grid_cv_10km_p45deg,10.0,45.0,M,marginal_observation,low,"marginal launch-window cell is observed, not treated as failed",observed_marginal,False,2.016406773057026,False,outside_effect,3.360677955095043,no_load_signal,,0,no_response_rows,missing_response_fact
kces_anchor_grid_cv_10km_m60deg,10.0,-60.0,O,negative_control_satisfied,none,outside-envelope negative control stayed quiet,negative_control_satisfied,False,40.824023759319836,False,outside_effect,68.04003959886639,no_load_signal,,0,no_response_rows,missing_response_fact
kces_anchor_grid_cv_10km_p60deg,10.0,60.0,O,negative_control_satisfied,none,outside-envelope negative control stayed quiet,negative_control_satisfied,False,40.82402483725558,False,outside_effect,68.04004139542596,no_load_signal,,0,no_response_rows,missing_response_fact
kces_anchor_grid_cv_10km_m75deg,10.0,-75.0,O,negative_control_satisfied,none,outside-envelope negative control stayed quiet,negative_control_satisfied,False,248.0756634500023,False,outside_effect,413.4594390833372,no_load_signal,,0,no_response_rows,missing_response_fact
kces_anchor_grid_cv_10km_p75deg,10.0,75.0,O,negative_control_satisfied,none,outside-envelope negative control stayed quiet,negative_control_satisfied,False,248.07566490719122,False,outside_effect,413.45944151198535,no_load_signal,,0,no_response_rows,missing_response_fact
kces_anchor_grid_cv_10km_m90deg,10.0,-90.0,O,negative_control_satisfied,none,outside-envelope negative control stayed quiet,negative_control_satisfied,False,665.7761952582691,False,outside_effect,1109.6269920971151,no_load_signal,,0,no_response_rows,missing_response_fact
kces_anchor_grid_cv_10km_p90deg,10.0,90.0,O,negative_control_satisfied,none,outside-envelope negative control stayed quiet,negative_control_satisfied,False,665.7762017238118,False,outside_effect,1109.6270028730198,no_load_signal,,0,no_response_rows,missing_response_fact
kces_anchor_grid_cv_12km_p0deg,12.0,0.0,N,no_review_pressure,none,nominal cell satisfied guidance/fuze/load and observed sampled response,satisfied,True,9.081415124102169e-05,True,core,0.00015135691873503613,load_band_available,0.8896623056125779,3,sampled_failure_observed,sampled_failure_observed
kces_anchor_grid_cv_12km_m15deg,12.0,-15.0,M,marginal_observation,low,"marginal launch-window cell is observed, not treated as failed",observed_marginal,True,0.2543489707996339,True,effective,0.42391495133272317,load_band_available,0.5249091127022022,1,sampled_failure_observed,sampled_failure_observed
kces_anchor_grid_cv_12km_p15deg,12.0,15.0,M,marginal_observation,low,"marginal launch-window cell is observed, not treated as failed",observed_marginal,True,0.2543516732849817,True,effective,0.42391945547496956,load_band_available,0.5269772396978782,1,sampled_failure_observed,sampled_failure_observed
kces_anchor_grid_cv_12km_m30deg,12.0,-30.0,M,marginal_observation,low,"marginal launch-window cell is observed, not treated as failed",observed_marginal,True,0.8866270600029166,True,outside_effect,1.4777117666715276,component_load_present_outside_case_band,0.004158375862262576,0,observed_probability_only,probability_only_no_sampled_failure
kces_anchor_grid_cv_12km_p30deg,12.0,30.0,M,marginal_observation,low,"marginal launch-window cell is observed, not treated as failed",observed_marginal,True,0.8866290736784691,True,outside_effect,1.4777151227974485,component_load_present_outside_case_band,0.004138148282556879,0,observed_probability_only,probability_only_no_sampled_failure
kces_anchor_grid_cv_12km_m45deg,12.0,-45.0,O,negative_control_satisfied,none,outside-envelope negative control stayed quiet,negative_control_satisfied,False,3.2307942758593007,False,outside_effect,5.384657126432168,no_load_signal,,0,no_response_rows,missing_response_fact
kces_anchor_grid_cv_12km_p45deg,12.0,45.0,O,negative_control_satisfied,none,outside-envelope negative control stayed quiet,negative_control_satisfied,False,3.2307954008375046,False,outside_effect,5.384659001395841,no_load_signal,,0,no_response_rows,missing_response_fact
kces_anchor_grid_cv_12km_m60deg,12.0,-60.0,O,negative_control_satisfied,none,outside-envelope negative control stayed quiet,negative_control_satisfied,False,73.05490722358955,False,outside_effect,121.7581787059826,no_load_signal,,0,no_response_rows,missing_response_fact
kces_anchor_grid_cv_12km_p60deg,12.0,60.0,O,negative_control_satisfied,none,outside-envelope negative control stayed quiet,negative_control_satisfied,False,73.05490836982908,False,outside_effect,121.75818061638181,no_load_signal,,0,no_response_rows,missing_response_fact
kces_anchor_grid_cv_12km_m75deg,12.0,-75.0,O,negative_control_satisfied,none,outside-envelope negative control stayed quiet,negative_control_satisfied,False,336.6021635056279,False,outside_effect,561.0036058427132,no_load_signal,,0,no_response_rows,missing_response_fact
kces_anchor_grid_cv_12km_p75deg,12.0,75.0,O,negative_control_satisfied,none,outside-envelope negative control stayed quiet,negative_control_satisfied,False,336.60216513523704,False,outside_effect,561.0036085587285,no_load_signal,,0,no_response_rows,missing_response_fact
kces_anchor_grid_cv_12km_m90deg,12.0,-90.0,O,negative_control_satisfied,none,outside-envelope negative control stayed quiet,negative_control_satisfied,False,799.7056468746918,False,outside_effect,1332.8427447911529,no_load_signal,,0,no_response_rows,missing_response_fact
kces_anchor_grid_cv_12km_p90deg,12.0,90.0,O,negative_control_satisfied,none,outside-envelope negative control stayed quiet,negative_control_satisfied,False,799.7056535248055,False,outside_effect,1332.842755874676,no_load_signal,,0,no_response_rows,missing_response_fact
kces_anchor_grid_cv_16km_p0deg,16.0,0.0,M,marginal_observation,low,"marginal launch-window cell is observed, not treated as failed",observed_marginal,True,9.081416133119028e-05,True,core,0.00015135693555198382,load_band_available,0.8896623055713707,3,sampled_failure_observed,sampled_failure_observed
kces_anchor_grid_cv_16km_m15deg,16.0,-15.0,M,marginal_observation,low,"marginal launch-window cell is observed, not treated as failed",observed_marginal,True,0.28889372111451356,True,effective,0.4814895351908559,load_band_available,0.4728398002864054,0,observed_probability_only,probability_only_no_sampled_failure
kces_anchor_grid_cv_16km_p15deg,16.0,15.0,M,marginal_observation,low,"marginal launch-window cell is observed, not treated as failed",observed_marginal,True,0.2888963822076838,True,effective,0.4814939703461397,load_band_available,0.47353601708843723,0,observed_probability_only,probability_only_no_sampled_failure
kces_anchor_grid_cv_16km_m30deg,16.0,-30.0,O,negative_control_satisfied,none,outside-envelope negative control stayed quiet,negative_control_satisfied,False,1.134017015599916,False,outside_effect,1.8900283593331935,no_load_signal,,0,no_response_rows,missing_response_fact
kces_anchor_grid_cv_16km_p30deg,16.0,30.0,O,negative_control_satisfied,none,outside-envelope negative control stayed quiet,negative_control_satisfied,False,1.1340187902541607,False,outside_effect,1.890031317090268,no_load_signal,,0,no_response_rows,missing_response_fact
kces_anchor_grid_cv_16km_m45deg,16.0,-45.0,O,negative_control_satisfied,none,outside-envelope negative control stayed quiet,negative_control_satisfied,False,13.724905862960822,False,outside_effect,22.874843104934705,no_load_signal,,0,no_response_rows,missing_response_fact
kces_anchor_grid_cv_16km_p45deg,16.0,45.0,O,negative_control_satisfied,none,outside-envelope negative control stayed quiet,negative_control_satisfied,False,13.724907013391109,False,outside_effect,22.874845022318514,no_load_signal,,0,no_response_rows,missing_response_fact
kces_anchor_grid_cv_16km_m60deg,16.0,-60.0,O,negative_control_satisfied,none,outside-envelope negative control stayed quiet,negative_control_satisfied,False,153.3582971339388,False,outside_effect,255.59716188989802,no_load_signal,,0,no_response_rows,missing_response_fact
kces_anchor_grid_cv_16km_p60deg,16.0,60.0,O,negative_control_satisfied,none,outside-envelope negative control stayed quiet,negative_control_satisfied,False,153.3582985131243,False,outside_effect,255.59716418854052,no_load_signal,,0,no_response_rows,missing_response_fact
kces_anchor_grid_cv_16km_m75deg,16.0,-75.0,O,negative_control_satisfied,none,outside-envelope negative control stayed quiet,negative_control_satisfied,False,554.4957900964206,False,outside_effect,924.1596501607011,no_load_signal,,0,no_response_rows,missing_response_fact
kces_anchor_grid_cv_16km_p75deg,16.0,75.0,O,negative_control_satisfied,none,outside-envelope negative control stayed quiet,negative_control_satisfied,False,554.4957920296608,False,outside_effect,924.1596533827682,no_load_signal,,0,no_response_rows,missing_response_fact
kces_anchor_grid_cv_16km_m90deg,16.0,-90.0,O,negative_control_satisfied,none,outside-envelope negative control stayed quiet,negative_control_satisfied,False,1066.6682849497743,False,outside_effect,1777.7804749162904,no_load_signal,,0,no_response_rows,missing_response_fact
kces_anchor_grid_cv_16km_p90deg,16.0,90.0,O,negative_control_satisfied,none,outside-envelope negative control stayed quiet,negative_control_satisfied,False,1066.6682925595574,False,outside_effect,1777.7804875992624,no_load_signal,,0,no_response_rows,missing_response_fact
