classification_reason,diagnostics_profile_attached,existing_8_neighbor_count,grid_tier,hit_run_count,max_achieved_lateral_g,max_capture_component_g,max_guidance_saturation_fraction,max_mirror_abs_difference_m,max_mirror_abs_difference_rho,max_postclamp_command_g,max_preclamp_command_g,max_seed_spread_m,max_seed_spread_rho,minimum_abs_rho_minus_one,mirror_entry_classification_consistent,nearest_distance_max_m,nearest_distance_mean_m,nearest_distance_min_m,neighbor_mixed_count,neighbor_robust_hit_count,neighbor_robust_miss_count,offset_deg,range_km,reclassified_launch_class,refinement_reasons,resolved_runtime_contract_matches,rho_max,rho_mean,rho_median,rho_min,robust_state,run_count,seed_count,signed_bearing_count,within_boundary_rho_band
mixed_or_adjacent_to_a_different_robust_state,False,8,main,0,32.62718741770985,0.0,0.0,2.136035982402973e-05,1.4240239920582098e-06,32.684239461437485,32.684239461437485,0.0,0.0,251.1758596199165,True,3782.6379156591074,3782.637904978927,3782.6378942987476,0,3,5,65.0,13.0,M,[],True,252.1758610439405,252.17586033192848,252.1758603319285,252.1758596199165,robust_miss,6,3,2,False
cell_and_all_existing_8_neighbors_robust_miss,False,8,main,0,30.261923284647402,0.0,0.0,3.537342126946896e-05,2.3582281301059993e-06,30.411227957112477,30.411227957112477,0.0,0.0,588.275797333672,True,8839.136995378502,8839.13697769179,8839.13696000508,0,0,8,70.0,13.0,O,[],True,589.2757996919001,589.2757985127861,589.2757985127861,589.275797333672,robust_miss,6,3,2,False
cell_and_all_existing_8_neighbors_robust_miss,False,8,main,0,20.840460189532756,0.0,0.0,4.244685078447219e-05,2.829789991665166e-06,20.99750582436779,20.99750582436779,0.0,0.0,791.3252091312114,True,11884.878179415022,11884.878158191597,11884.878136968171,0,0,8,75.0,13.0,O,[],True,792.3252119610014,792.3252105461064,792.3252105461064,792.3252091312114,robust_miss,6,3,2,False
cell_and_all_existing_8_neighbors_robust_miss,False,8,main,0,5.174485770637535,0.0,0.0,8.14533414086327e-05,5.430222813629371e-06,6.0227139649319215,6.0227139649319215,0.0,0.0,853.4267576982114,True,12816.401446926513,12816.40140619984,12816.401365473172,0,0,8,80.0,13.0,O,[],True,854.4267631284342,854.4267604133229,854.4267604133229,854.4267576982114,robust_miss,6,3,2,False
cell_and_all_existing_8_neighbors_robust_miss,False,8,main,0,5.614599070114391,0.0,0.0,0.00010245614430459682,6.8304095748317195e-06,5.688531930903668,5.688531930903668,0.0,0.0,864.2794984932714,True,12979.192579855215,12979.192528627143,12979.19247739907,0,0,8,85.0,13.0,O,[],True,865.279505323681,865.2795019084762,865.2795019084762,865.2794984932714,robust_miss,6,3,2,False
cell_and_all_existing_8_neighbors_robust_miss,False,5,main,0,0.0,0.0,0.0,0.00011414665641495958,7.609777071593271e-06,0.0,0.0,0.0,0.0,865.6687378339954,True,13000.031181656586,13000.031124583258,13000.03106750993,0,0,5,90.0,13.0,O,[],True,866.6687454437724,866.668741638884,866.6687416388838,866.6687378339954,robust_miss,6,3,2,False
cell_and_all_existing_8_neighbors_robust_hit,False,5,main,3,1.8014706545557722,0.0,0.0,0.0,0.0,6.124999999999999,6.124999999999999,0.0,0.0,0.9999091858438546,True,0.0013622123421813848,0.0013622123421813848,0.0013622123421813848,0,5,0,0.0,14.0,N,[],True,9.081415614542565e-05,9.081415614542567e-05,9.081415614542565e-05,9.081415614542565e-05,robust_hit,3,3,1,False
cell_and_all_existing_8_neighbors_robust_hit,False,8,main,6,6.676306155935525,0.0,0.0,1.3138528985384354e-06,8.759019323589118e-08,6.702661712779684,6.702661712779684,0.0,0.0,0.999909101069102,True,0.0013634839634694904,0.0013628270370202214,0.001362170110570952,0,8,0,5.0,14.0,N,[],True,9.089893089796602e-05,9.085513580134807e-05,9.085513580134807e-05,9.081134070473013e-05,robust_hit,6,3,2,False
cell_and_all_existing_8_neighbors_robust_hit,False,8,main,6,11.197755586342874,0.0,0.0,3.1458108329751686e-06,2.0972072219835e-07,11.20303545905218,11.20303545905218,0.0,0.0,0.9999088348074882,True,0.0013674778876783056,0.0013659049822618181,0.0013643320768453304,0,8,0,10.0,14.0,N,[],True,9.116519251188705e-05,9.106033215078786e-05,9.106033215078787e-05,9.09554717896887e-05,robust_hit,6,3,2,False
cell_and_all_existing_8_neighbors_robust_hit,False,8,main,6,14.697716325594362,0.0,0.0,3.3391090325592294e-06,2.2260726883727925e-07,14.704220568628278,14.704220568628278,0.0,0.0,0.9999087777125357,True,0.0013683343119642263,0.0013666647574479467,0.001364995202931667,0,8,0,15.0,14.0,N,[],True,9.122228746428175e-05,9.11109838298631e-05,9.11109838298631e-05,9.099968019544447e-05,robust_hit,6,3,2,False
