case_id,diagnostics_profile_attached,entered_R_fuze,fuze_triggered,grid_tier,guidance_runtime_missing_acceleration_diagnostics_count,guidance_runtime_observation_count,guidance_saturated_sample_count,guidance_saturation_fraction,max_achieved_lateral_g,max_capture_component_g,max_postclamp_command_g,max_preclamp_command_g,nearest_approach_closure_mps,nearest_approach_time_s,nearest_distance_m,offset_deg,range_km,range_m,refinement_reasons,resolved_guidance_runtime,resolved_runtime_contract_matches,resolved_runtime_contract_mismatches,rho_fuze,seed,signed_bearing_deg
guidance_envelope_main_12km_m30deg_s20260622,False,True,True,main,0,708,0,0.0,23.527093443923903,0.0,23.538285714002534,23.538285714002534,0.0,11.768739761691997,0.001375391175497799,30.0,12.0,12000.0,[],"{""apn_target_accel_gain"": 0.5, ""capture_guidance_mode"": 0, ""guidance_max_lateral_g"": 35.0, ""nav_gain"": 4.0, ""pn_los_rate_source"": 1, ""target_kinematics_estimator"": 1, ""target_tracker_alpha"": 0.2, ""target_tracker_beta"": 0.02}",True,[],9.16927450331866e-05,20260622,-30.0
guidance_envelope_main_12km_p30deg_s20260622,False,True,True,main,0,708,0,0.0,23.527093443923988,0.0,23.538285713994384,23.538285713994384,0.0,11.768739793805404,0.0013711176156638845,30.0,12.0,12000.0,[],"{""apn_target_accel_gain"": 0.5, ""capture_guidance_mode"": 0, ""guidance_max_lateral_g"": 35.0, ""nav_gain"": 4.0, ""pn_los_rate_source"": 1, ""target_kinematics_estimator"": 1, ""target_tracker_alpha"": 0.2, ""target_tracker_beta"": 0.02}",True,[],9.140784104425896e-05,20260622,30.0
guidance_envelope_main_12km_m30deg_s20260623,False,True,True,main,0,708,0,0.0,23.527093443923903,0.0,23.538285714002534,23.538285714002534,0.0,11.768739761691997,0.001375391175497799,30.0,12.0,12000.0,[],"{""apn_target_accel_gain"": 0.5, ""capture_guidance_mode"": 0, ""guidance_max_lateral_g"": 35.0, ""nav_gain"": 4.0, ""pn_los_rate_source"": 1, ""target_kinematics_estimator"": 1, ""target_tracker_alpha"": 0.2, ""target_tracker_beta"": 0.02}",True,[],9.16927450331866e-05,20260623,-30.0
guidance_envelope_main_12km_p30deg_s20260623,False,True,True,main,0,708,0,0.0,23.527093443923988,0.0,23.538285713994384,23.538285713994384,0.0,11.768739793805404,0.0013711176156638845,30.0,12.0,12000.0,[],"{""apn_target_accel_gain"": 0.5, ""capture_guidance_mode"": 0, ""guidance_max_lateral_g"": 35.0, ""nav_gain"": 4.0, ""pn_los_rate_source"": 1, ""target_kinematics_estimator"": 1, ""target_tracker_alpha"": 0.2, ""target_tracker_beta"": 0.02}",True,[],9.140784104425896e-05,20260623,30.0
guidance_envelope_main_12km_m35deg_s20260621,False,True,True,main,0,772,0,0.0,25.867628990385843,0.0,25.880320187658516,25.880320187658516,0.0,12.84468428007007,0.0013883902264814315,35.0,12.0,12000.0,[],"{""apn_target_accel_gain"": 0.5, ""capture_guidance_mode"": 0, ""guidance_max_lateral_g"": 35.0, ""nav_gain"": 4.0, ""pn_los_rate_source"": 1, ""target_kinematics_estimator"": 1, ""target_tracker_alpha"": 0.2, ""target_tracker_beta"": 0.02}",True,[],9.255934843209542e-05,20260621,-35.0
guidance_envelope_main_12km_p35deg_s20260621,False,True,True,main,0,772,0,0.0,25.867628990385843,0.0,25.880320187658516,25.880320187658516,0.0,12.844684321063047,0.00138290217505164,35.0,12.0,12000.0,[],"{""apn_target_accel_gain"": 0.5, ""capture_guidance_mode"": 0, ""guidance_max_lateral_g"": 35.0, ""nav_gain"": 4.0, ""pn_los_rate_source"": 1, ""target_kinematics_estimator"": 1, ""target_tracker_alpha"": 0.2, ""target_tracker_beta"": 0.02}",True,[],9.2193478336776e-05,20260621,35.0
guidance_envelope_main_12km_m35deg_s20260622,False,True,True,main,0,772,0,0.0,25.867628990385843,0.0,25.880320187658516,25.880320187658516,0.0,12.84468428007007,0.0013883902264814315,35.0,12.0,12000.0,[],"{""apn_target_accel_gain"": 0.5, ""capture_guidance_mode"": 0, ""guidance_max_lateral_g"": 35.0, ""nav_gain"": 4.0, ""pn_los_rate_source"": 1, ""target_kinematics_estimator"": 1, ""target_tracker_alpha"": 0.2, ""target_tracker_beta"": 0.02}",True,[],9.255934843209542e-05,20260622,-35.0
guidance_envelope_main_12km_p35deg_s20260622,False,True,True,main,0,772,0,0.0,25.867628990385843,0.0,25.880320187658516,25.880320187658516,0.0,12.844684321063047,0.00138290217505164,35.0,12.0,12000.0,[],"{""apn_target_accel_gain"": 0.5, ""capture_guidance_mode"": 0, ""guidance_max_lateral_g"": 35.0, ""nav_gain"": 4.0, ""pn_los_rate_source"": 1, ""target_kinematics_estimator"": 1, ""target_tracker_alpha"": 0.2, ""target_tracker_beta"": 0.02}",True,[],9.2193478336776e-05,20260622,35.0
guidance_envelope_main_12km_m35deg_s20260623,False,True,True,main,0,772,0,0.0,25.867628990385843,0.0,25.880320187658516,25.880320187658516,0.0,12.84468428007007,0.0013883902264814315,35.0,12.0,12000.0,[],"{""apn_target_accel_gain"": 0.5, ""capture_guidance_mode"": 0, ""guidance_max_lateral_g"": 35.0, ""nav_gain"": 4.0, ""pn_los_rate_source"": 1, ""target_kinematics_estimator"": 1, ""target_tracker_alpha"": 0.2, ""target_tracker_beta"": 0.02}",True,[],9.255934843209542e-05,20260623,-35.0
guidance_envelope_main_12km_p35deg_s20260623,False,True,True,main,0,772,0,0.0,25.867628990385843,0.0,25.880320187658516,25.880320187658516,0.0,12.844684321063047,0.00138290217505164,35.0,12.0,12000.0,[],"{""apn_target_accel_gain"": 0.5, ""capture_guidance_mode"": 0, ""guidance_max_lateral_g"": 35.0, ""nav_gain"": 4.0, ""pn_los_rate_source"": 1, ""target_kinematics_estimator"": 1, ""target_tracker_alpha"": 0.2, ""target_tracker_beta"": 0.02}",True,[],9.2193478336776e-05,20260623,35.0
